requirement_id,line_no,summary,phase,artifact,validation,owner
R-1254,1254,"Verify per suite x algorithm x dimension cell: hashes, objectives, functions, dims, runs, seeds, MaxFES, params, completeness, checksums",2,comparability_audit.md; data_ledger.csv,Phase 2 protocol verification; Section 15.7 evidence-release validation,P4
R-1272,1272,"Confirm expected suite anchors: CEC2017 29f/D10-100/51 runs (F2 rule), CEC2011 22/native/25, CEC2013 28/D10-50/51 no F2 exclusion",2,comparability_audit.md,Phase 2 protocol verification matrix; P4 sign-off,P4
R-1282,1282,"Before combining algorithms in any table or test, verify the 11 comparator-fairness conditions (objectives, budgets, pairing, provenance)",2,comparability_audit.md,Phase 2 comparator-fairness audit; Phase 6 entry check,P4
R-1296,1296,Assign exactly one comparability status (A/B/C/D as defined) to every comparison cell,2,comparability_audit.md,Phase 2 gate review; R2 statistical review,P4
R-1303,1303,Status C evidence may appear only in a clearly labeled descriptive context,cross,comparability_audit.md; manuscript results,P9 integrity audit; R2 review; Section 15.2 claim coverage,P3
R-1304,1304,Status D evidence MUST NOT enter the manuscript's formal comparison,cross,comparability_audit.md; manuscript results,P9 integrity audit; R2 review,P3
R-1308,1308,Verify that common seeds represent a meaningful pairing for each algorithm,2,comparability_audit.md,Phase 2 seed governance checks,P4
R-1309,1309,"Do not treat a shared numeric seed as a valid pair when initialization, RNG consumption, or task definitions differ materially",2,comparability_audit.md,Phase 2 seed governance checks; R2 review,P4
R-1311,1311,"Record the exact pairing key, normally suite x function x dimension x run",2,data_ledger.csv; statistical_analysis_plan.md,Phase 5 SAP freeze; Section 15.8,P4
R-1312,1312,Do not pair summary means or medians as if they were raw run pairs,6,primary_stats/statistical_results.csv,R2 statistical review,P3
R-1313,1313,Do not treat repeated runs on one function as independent benchmark tasks,6,statistical_analysis_plan.md,R2 statistical review,P3
R-1314,1314,"Preserve seed_schedule.csv and test uniqueness, cardinality, and formula",2,seed_schedule.csv; reproducibility_manifest.json,Section 15.7 evidence-release validation,P4
R-1315,1315,Never change the base seed or mix seed policies inside an exhibit,cross,exhibit_plan.csv; artifact_binding.csv,Section 15.4 exhibit-binding validation; R3 review,P4
R-1319,1319,"Classify every artifact as raw immutable evidence, verified derived evidence, or rendered artifact",2,asset_map.md; data_ledger.csv,Phase 2 asset audit; Section 15.7,P4
R-1327,1327,Rendered artifacts never regenerate data; derived values reproducible from raw; designate one authoritative output and test exact equality,cross,asset_map.md; artifact_binding.csv,Section 15.3 number binding; deterministic rerun-and-diff,P5
R-1333,1333,Selected empirical release MUST have evidence_release_manifest.json in governance root carrying the 16 required fields,2,evidence_release_manifest.json,Section 15.7 evidence-release validation,P4
R-1356,1356,"Selected release ID MUST appear in every data ledger row, analysis output, caption provenance record, and reproducibility statement",cross,data_ledger.csv; analysis bundle; artifact_binding.csv,Sections 15.3/15.4/15.7 binding checks,P5
R-1361,1361,Convergence evidence uses only curves and checkpoint logs in the selected immutable release,6,curve analysis inputs; strict-source guard,Section 2.3 strict-source guard; Section 15.7,P4
R-1362,1362,Verify checkpoint definitions and identical evaluation coordinates before aggregating curves,2,comparability_audit.md,Phase 2 verification; R2 review,P4
R-1363,1363,Aggregate convergence with a declared statistic and uncertainty band,5,statistical_analysis_plan.md; figures,Phase 5 SAP freeze; R2 review,P3
R-1364,1364,Do not smooth away failures or unfavorable convergence behavior,7,convergence figures,R2/R6 review of figures,P3
R-1365,1365,Do not extrapolate beyond a terminated run,7,convergence figures,R2 review,P3
R-1366,1366,Pre-specify main-text curve selection rule from summary statistics before viewing final plots; document prior figure exposure as limitation,5,curve_selection.csv; statistical_analysis_plan.md,Phase 5 freeze; R2 pre-registration check,P3
R-1372,1372,Include at least one difficult or unfavorable convergence case,7,curve_selection.csv; exhibit_plan.csv,Section 15.4; R6 review,P3
R-1373,1373,Put complete convergence function grids in the supplement,8,supplementary materials,Section 15.4; R4 review,P6
R-1386,1386,Treat parameter sensitivity and ablation as separate studies,cross,statistical_analysis_plan.md,R2 review; Gate 11 pre-ablation check,P3
R-1388,1388,Label the expected three-run parameter study as exploratory sensitivity,5,statistical_analysis_plan.md; manuscript,R2 review,P3
R-1389,1389,"State grid/range, tasks, dimensions, runs, seeds, metric, and selection rule for the sensitivity study",5,statistical_analysis_plan.md,Phase 5 freeze; R2 review,P3
R-1390,1390,Disclose whether the same sensitivity cases influenced final parameter choices,8,experimental setup / discussion sections,P9 integrity audit,P3
