change_id,reason,evidence,affected_phases,affected_claims,affected_artifacts,rerun_plan,approver,status
CR-0001,User requirement 2026-07-10: every per-function convergence figure must overlay all seven GSK-family algorithms,Section 0.2 precedence item 1 (latest explicit human requirement),"4,5,7,8,10",convergence-figure claims,PAPER_BUILD_PROMPT.md SS6.7/8.4/8.5/8.6/Phase4t8/Phase7t3/15.9.4; convergence generators (tooling task),re-run source-line traceability patch for edited master ranges; Phase 5 pre-registration carries the design,P1,APPROVED
CR-0002,User requirement 2026-07-10: manuscript format calibrated to GSK + ATMALS-GSK exemplars and Q1/Q2 best practices,Section 0.2 precedence item 1 (latest explicit human requirement),"4,8,10",presentation/structure quality bar,PAPER_BUILD_PROMPT.md SS8.7/10.1/Phase4t12/Phase10R4/15.9.4; papers/governance/presentation_conventions.md (Phase 4 output),re-run source-line traceability patch for edited master ranges; Phase 10 R4 gains exemplar-parity check,P1,APPROVED
CR-0003,User requirement 2026-07-10: comprehensive Q1 production-spec deltas (eGSK third exemplar + comparative review; stats/visuals/figure-QA/reproducibility-taxonomy/immutability-list/gate-mapping/narrative-arc additions),Section 0.2 precedence item 1,"2,4,5,6,7,8,10,12",presentation + statistics + convergence + QA scope,PAPER_BUILD_PROMPT.md multiple sections (delta spec in scratchpad cr0003_deltas.md),traceability re-patch after application; Phase 4/5 pre-registrations carry new options,P1,APPROVED
CR-0004,Phase 1 identity audit verified bib-metadata errors against printed sources: 6 wrong DOIs (mohamed2021novel also wrong year + third author); author-name errors in 11 entries; awad2017ensemble title; jawad2024egsk published venue metadata; fialho2010adaptive entry type + author order,reference_inventory.csv notes column (per-key verified corrections) + Phase 1 evidence cards in papers/governance/evidence_cards/,"1 (frozen corpus amended via change control); corrected bib consumed by 4,8,9,10",citation-metadata only; no manuscript prose frozen yet; the prose label 'eGSK 2024' must be reconciled with the 2025 published year at writing time,papers/references.bib; reference_papers/references.bib (byte-identical copy); reference_papers/README.md; reference_papers/PAPERS_LIST.md (affected rows only); decision_log.md D-0007,re-parse bib (57 entries; keys unchanged); byte-identity hash check of the two bib copies; re-check cite-keys-subset-of-bibkeys invariant over papers/sections/*.tex,P1,APPROVED
CR-0005,User supplied the correct CEC2017 bound-constrained problem-definitions report on 2026-07-10 (resolves the awad2016problem WRONG-DOCUMENT block from Phase 1 / EG-001),"reference_papers/awad2016problem.pdf now 34 pp. sha256 b69f52f047f6bca888787ac19f3f1224293000c0a2446bdd5c355795efa9684a; title-page + full-text content check: 'Single Objective Real-Parameter Numerical Optimization' (no 'Constrained'), F1-F30, unimodal/multimodal/hybrid/composition, [-100,100], MaxFES=10000*D, no constraint g/h functions",1 (reopened under change control: BLOCKED key -> admissible); unblocks 8 (benchmark-protocol citations) and every claims-evidence row assigned the CEC2017 suite-definition role,CEC2017 suite-definition citation now permitted (was blocked/narrowed to awad2017ensemble+brest2017single),reference_inventory.csv (awad2016problem row major_mismatch->verified); evidence_cards/awad2016problem.md (STUB->full admissible card); allowed_citation_keys.txt (56->57 keys); evidence_gap_register.md (EG-001 RESOLVED); phase_gate_register.csv (Phase 1 note),re-check admissible-key count = 57; re-verify allowed_citation_keys is subset of bib keys; Phase 8 may cite awad2016problem as the suite definition,P1;P9,APPROVED
CR-0006,"A2-004 data-loss CORRECTION (2026-07-11): apgsk CEC2017 D10/D30/D50 per-run data lost from benchmarks/cec_reference_results/cec2017/apgsk/per_run.csv is recovered by a validated deterministic re-derivation; the previously disclosed-unavailable run-level cells vs apgsk at those dimensions become their true measured values (completeness correction, not new data)","scripts/recover_apgsk_perrun.py reproduces the frozen summary CSVs EXACTLY from the recovered rows (per_run.csv 1479->5916 rows, all 4 dims); manifest sha256 d43f32f6..->ac3419fe.. size 151765->594925; papers/build_prompt_phases/cr_0006_apgsk_recovery/CR_0006_summary.md","6 (run-level analysis recompute, Stage 1); 7 (exhibit regeneration, Stage 2 - all built .tex byte-identical, no exhibit changed); 11 (freeze/parity re-verification). Phase 9 Word/docx NOT reopened by this CR.",RS-07;RS-08;RS-09;LM-04 (evidence completeness only - apgsk run-level cells now computed); NO claim upgraded,"papers/analysis/rel-2026-07-10-262fc16c9 (31 bundle files: wilcoxon_run/effect_sizes/bca_ci/headline_bca/cost/exploratory_bh + robustness r02/r05/r06 + primary_stats + provenance JSONs); papers/governance/evidence_release_manifest.json; phase_05/{analysis_registry.csv,statistical_analysis_plan.md,source_resolution_map.csv}; papers/governance/claims_evidence_matrix.csv; papers/governance/phase2_anomaly_register.csv (A2-004->RESOLVED-CR-0006); papers/governance/decision_log.md (D-0011). UNCHANGED: results/paper_tables/T*.csv + papers/tables/*.tex (byte-identical); artifact_binding.csv (no bound source references a changed file)",Stage 1: phase6_run_analysis.py static APGSK_GAP_DIMS skip replaced by dynamic per_run_absent() presence gate; deterministic recompute (exit 0). Stage 2: rerun generate_latex_tables.py + generate_t16_bca.py (verified byte-identical); dispositions + change-control updated. No benchmark re-run; frozen algorithm and all other optimizers immutable.,P1,APPROVED
CR-0007,"Post-freeze code audit (2026-07-14) found two defects in the hash-frozen core, fixed at source: C006 -- the final polish was entered with a stale incumbent vector paired with a newer incumbent's fitness (_dt_core.py polish entry); best_idx/best_f/best_x are now re-materialised atomically. M038 -- the interaction graph imported gsk_family._numba_accel (nonexistent), so the compiled kernels silently fell back to NumPy; now imports ._numba_accel.","C006 CHANGES TRAJECTORIES wherever the polish fires (D>=50); on a 14-cell probe only 2 cells moved, both slightly worse (F1 D50 ~1e-13; F3 D100 0.13%) -- a correctness fix, not a performance win. M038 is RESULT-NEUTRAL: kernels are fastmath=False with no thread-parallel reduction, bit-identity verified at D50/D100; wall-clock only (~1.34x faster at D50, memory-on arm). Both locked by regression tests that FAIL on the pre-fix code: tests/regression/test_dt_polish_incumbent_consistent.py (C006) and tests/regression/test_dt_graph_backend_parity.py (M038, also asserts backend bit-identity; the pre-existing byte-stability KAT could not catch this because its cells are D<=30, below the tier where the graph activates). Runbook: docs/development/evidence_rerun_runbook.md.","3 (freeze invalidated),6,7,8,10,11,12","All DT-GSK performance claims: the pre-fix evidence can no longer be attributed to the shipped code. Ranks, Wilcoxon/Holm decisions and effect sizes were re-derived, not assumed to survive. Runtime and ISM-overhead figures were re-measured (the +54%/+37% overheads were un-accelerated pre-fix values).","src/gsk_family/optimizers/_dt_core.py + interaction graph import; freeze manifest hashes now HISTORICAL (all four differ from the shipped modules: a274e0f83b4efd3c->51b12194a3962a20, 1ef815cee5d4c9c3->dc2d59db91a288ee, c3dcdce3a3477dca->7baadf228d356394, db1cc028b3ebc145->8a0fc27d7531b847); evidence release rel-2026-07-10-262fc16c9 SUPERSEDED by rel-2026-07-16-78f075cb0 (anchor 78f075cb0f68a80010d524bdcc390a69a0afc5cd, 3403 files); analysis bundle papers/analysis/rel-2026-07-16-78f075cb0; supplementary.tex sec:repro:freeze (rewritten as a chronological provenance record, M-031) and sec:supp:ablation:caveats (defect disclosure).","DONE: full 51-run regeneration of the primary-panel, scaffold and overlay dt-gsk cells with the corrected binary; comparator cells verified byte-identical to the prior release during minting, so regeneration was scoped to dt-gsk. New release minted and promoted; every reported number is drawn from it. OUTSTANDING (RT-001): comparators were not re-timed, so the cross-algorithm runtime table mixes measurement sessions and is frozen pending scripts/retime_comparators.py.",P1,APPROVED
CR-0008,"SE-018: the shipped build exceeds the repo-internal manuscript budget recorded in page_budget.md Section 2 (B1 target 28-34 pp hard cap 34; B2 hard cap 12,000 words), both marked BINDING. Measured on the 2026-07-22 build: B1 = 36 pp, B2 ~= 19,536 words. The overrun is raised formally rather than absorbed, because the panel forbids resolving it by shrinking exhibits (SE-005 and SE-013 require the opposite) and because the material added since the cap was set is disclosure text - the SciPy attribution correction (SE-020), the GSK-RL tallies (SE-024), the null-framing restatement (SE-021), the floor-sensitivity surrogate and omnibus-statistic disclosures (SE-046), and the no-comparator-wall-clock statement (SE-044). Cutting those to meet an internal target would trade accuracy for a number.","pypdf page scan of papers/DT-GSK.pdf: 40 pp total; back matter (Author Contributions) begins p.37; References begin p.38; B1 = 36. B2 from pdftotext extraction over pp.1-36 counting every token including table cells and numerals (a prose-only count is lower: the 2026-07-22 panel measured ~13,264-13,368). page_budget.md Section 2 records the superseded caps. MDPI Algorithms imposes no page or word limit, so the cap is internal only and its purpose is reviewer-attention discipline, not venue compliance.",12 (production only),"NONE. No claim, number, rank, p-value, equation, figure, or table value changes. This change request alters a repository-internal production target only.","papers/governance/page_budget.md (caps superseded); papers/governance/phase_gate_register.csv (Phase 12 measurement row); papers/DT-GSK.pdf / .docx (unchanged by this CR - measured, not modified)","NONE - no experiment, analysis, or optimizer code is touched. Production-side only.",P1,"APPROVED 2026-07-22. New caps: B1 hard cap 40 pp, B2 hard cap 20,000 words, both measured on the shipped PDF by the method recorded in the evidence column. Prior caps (34 pp / 12,000 words) are SUPERSEDED. Any future build exceeding the new caps requires a further change request."
CR-0009,"DT-GSK was too slow on CEC2013LSGO (D=1000/905, MaxFES=3e6 ~ 50 min/run). Profiling isolated the cost: the objective is ~2% of wall time (numba-JIT) and the ISM interaction-graph block extraction is ~80%. Within it, interaction_graph._split_component re-derived the within-set row-sums Wn[rem][:,rem].sum(axis=1) by materialising a fresh |rem|x|rem| submatrix on every greedy iteration (~240 MB of copies per call at D=1000). This CR replaces that with a zero-allocation numba kernel (ig_component_rowsum_fast in _numba_accel.py) that reads Wn through the index in place. ~2.3-3x faster on CEC2013LSGO; the full ISM subsystem stays ACTIVE (not disabled). Performance only.","Bit-identity certified. The reference Wn[idx][:,idx].sum(axis=1) is a fancy-indexed reduction which NumPy evaluates with its NAIVE strided loop (left-to-right in idx order), not the pairwise SIMD path used for plain-contiguous arrays -- shown by a crafted [1e16,1,1,...] row: fancy returns 1e16 (naive), plain returns 1.0000000000001008e16 (pairwise). The kernel accumulates in the same idx order, so it reproduces the reference to the last bit. Unit parity: 848/848 real (captured D=1000) + adversarial random cases, max abs diff 0.0. End-to-end best_fitness bit-identical: cec2017 F3 D50 90113.3156549878, F5 D50 745.7618813989388, F3 D100 316049.9747246865, cec2013lsgo F1 D1000 52449801968.83455. Regression: tests/regression/test_dt_graph_backend_parity.py (D50 trajectory identity + kernels-bound) and test_dt_gsk_byte_stable.py (D<=30 golden) both PASS (7 passed). Kernel compiled fastmath=False, no parallel reduction, matching the file's existing bit-identity policy. Source SHA-256 prefixes: _numba_accel.py 58d5f9d639e090f1 -> 0a7984c855d2a575; interaction_graph.py 4c089a00421ca81c -> b99f601e7fd49375.","NONE. Output is bit-identical, so no evidence release is regenerated: rel-2026-07-20-67d9345f9 remains valid and reproduces bit-for-bit under the optimized code.","NONE. No number, rank, p-value, equation, figure, or table value changes. Certified bit-identical on the primary suite's ISM-active cells (cec2017 D50/D100).","src/gsk_family/optimizers/_dt_subsystems/_numba_accel.py and interaction_graph.py (new SHA-256 prefixes in the evidence column). No manuscript-printed value changes: the four pinned module hashes are dt_gsk/_dt_core/_dt_profiles/_dt_rng (none edited), and the printed Merkle e532fc44 is the historical 2026-07-10 freeze value (unchanged). The _dt_subsystems_merkle in build_prompt_phases/phase_03/algorithm_freeze_manifest_2026-07-19.json (e2a86124...) is SUPERSEDED for the current tree; that dated manifest is retained unmodified (supplement 'retain + superseded' provenance pattern). New name-sorted raw-concat SHA-256 over _dt_subsystems/*.py: 4f668deaab00dde514b4e320061335c17fc76dd13d0c2a4309ed2fca04d7bc66. validate_provenance_claims and check_manifest remain green (15/15).","NONE - bit-identical, certified by the parity + byte-stability regression tests and end-to-end best_fitness identity at D50/D100/D1000. No experiment or analysis is re-run.",Author decision 2026-07-25 (apply on main + register CR),APPROVED 2026-07-25. Performance-only optimization of the interaction-graph block extraction; full ISM retained; certified bit-identical (no released number changes). Applies to all DT-GSK runs; the CEC2013LSGO campaign is the motivating consumer.
CR-0010,"Threefry scalar-draw overhead dominated the GSK family on CEC2013LSGO. Post-CR-0009 profiling at a representative budget (150k/300k differencing, F1 D1000, production threefry) attributed 26-39% of wall time to the RNG for five classics and 68.9% for atmals-gsk, whose local search draws scalars per dimension per elite (atmals_gsk.py:98,100). Root cause was NOT the fill kernel (already unrolled 4.19x by 61dc84bd8) and NOT a missing batch (_draw already buffers 4 doubles/call): it was per-call Python overhead -- np.empty(1) allocation plus 'self._buffer = self._buffer[take:]', which constructs a fresh ndarray view object on EVERY draw. Naive batching was rejected as non-bit-identical: the draw count is data-dependent (line 100 draws only when line 98's test passes), so pre-drawing shifts the stream.","Bit-identity certified by construction and by test. _fill_doubles_kernel maps block index k to a fixed quadruple independent of blocks-per-call, so refilling 256 blocks at once yields exactly the one-at-a-time sequence; only the buffering schedule changes. Verified: (1) 60 randomised trials x 120 mixed scalar/batch calls against an independent reimplementation of the OLD buffering semantics -- 0 mismatches; (2) copy_state/restore_state round-trip reproduces the stream (schema preserved: 'buffer' still serialises the unconsumed tail); (3) 2-D column-major reshape/swapaxes order preserved (Appendix A trap T2); (4) 37 RNG KATs pass (tests/unit/test_rng.py threefry known-answer, tests/unit/test_dt_rng.py 13-substream vs fixtures/dt_rng_kat.json); (5) full suite 488 passed; (6) end-to-end identical best_fitness at F1 D1000 MaxFES=300k for atmals-gsk, gsk and egsk. Measured speedup: atmals-gsk 1.85x (46.42->25.10s), gsk 1.46x (17.37->11.92s), egsk 1.33x (16.35->12.28s). New SHA-256 prefixes: threefry_rng.py efdeb0e807d06d60, reference_rng.py 62a76b0ea0945284.","NONE. Output is bit-identical, so no evidence release is regenerated: rel-2026-07-20-67d9345f9 remains valid and reproduces bit-for-bit under the optimised RNG.","NONE. No number, rank, p-value, equation, figure or table value changes. The generator is shared by all seven algorithms and every suite, so bit-identity was certified at the stream level (not per-suite) plus end-to-end best_fitness identity.",src/gsk_family/common/threefry_rng.py (index-based reservoir + random_scalar fast path) and src/gsk_family/common/reference_rng.py (scalar fast-path dispatch in the shared base). No manuscript-printed value depends on either file.,"NONE - bit-identical, certified by the RNG KATs, the old-semantics equivalence harness, and end-to-end best_fitness identity for atmals-gsk/gsk/egsk. No experiment re-executed.",Author decision 2026-07-25 (apply all; full unfreeze in force but this change needs none of it),APPROVED 2026-07-25. Performance-only optimisation of the shared Threefry stream; certified bit-identical (no released value changes). Benefits all seven algorithms and all five suites.
