anomaly_id,class,severity,suite,optimizer,source_file,description,count,impact
A2-001,PROTOCOL_OBSERVATION,info,cec2017,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\agsk\per_run.csv,target_error_reached early stops: 404 runs (protocol-legitimate stopping rule; nfes<MaxFES by design),404,none; budget accounting per stopping rule
A2-002,PROTOCOL_OBSERVATION,info,cec2017,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\agsk\curves,8 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,8,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-003,TRUNCATED_CONVERGENCE,soft,cec2017,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\agsk\curves,curve issue last_eval_ne_maxfes: 8 files,8,trace ends before MaxFES (early-stop or checkpoint policy)
A2-004,COVERAGE_MISMATCH,hard,cec2017,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\apgsk\per_run.csv,"per_run rows 1479/5916, cells 29/116; dims present=[100]",1,per-run evidence absent for missing cells; paired per-run statistics not computable from per_run.csv for the missing dims [STATUS: RESOLVED-CR-0006 2026-07-11 -- per_run.csv restored to all 4 dims (5916 rows) by a validated deterministic recovery (scripts/recover_apgsk_perrun.py); recovered D10/D30/D50 rows reproduce the frozen summary CSVs EXACTLY; completeness correction only (frozen summaries + primary/function-level results unchanged; no claim upgraded); see decision_log D-0011 + change_request_register CR-0006. Siblings A2-005/A2-006/A2-007 (seed_schedule/env/gen_log-provenance) are NOT covered by this recovery and remain open.]
A2-005,COVERAGE_MISMATCH,hard,cec2017,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\apgsk\seed_schedule.csv,seed_schedule rows 1479/5916,1,seed schedule incomplete for this cell | DISPOSITIONED 2026-08-01: no impact on any reported number. The affected APGSK CEC2017 cells are analysed at function level and the manuscript discloses that basis; the unified seed policy (CR-0019) governs every cell actually compared.
A2-006,METADATA_INCONSISTENT,hard,cec2017,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\apgsk,"environment/run_config dims [100]/100 != protocol [10, 30, 50, 100]; env timestamp=2026-07-08T21:53:10 git=20cfed0a",1,cell metadata describes a partial rerun; environment/config provenance incomplete | DISPOSITIONED 2026-08-01: no impact on any reported number. Provenance for these cells is carried by the evidence-release manifest rather than the sidecar.
A2-007,COVERAGE_MISMATCH,hard,cec2017,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\apgsk\gen_logs,"gen_log run seeds for 4437 (dim,func,run) keys absent from this cell's seed_schedule; 4437/4437 match the family unified schedule",4437,local schedule incomplete; original runs consistent with unified seeding | DISPOSITIONED 2026-08-01: no impact; the consistency check that closes it is the one named in the description.
A2-008,PROTOCOL_OBSERVATION,info,cec2017,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\apgsk\curves,5 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,5,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-009,TRUNCATED_CONVERGENCE,soft,cec2017,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\apgsk\curves,curve issue last_eval_ne_maxfes: 5 files,5,trace ends before MaxFES (early-stop or checkpoint policy)
A2-010,PROTOCOL_OBSERVATION,info,cec2017,atmals-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\atmals-gsk\curves,9 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,9,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-011,PROTOCOL_OBSERVATION,info,cec2017,egsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\egsk\curves,10 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,10,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-012,PROTOCOL_OBSERVATION,info,cec2017,fdb-agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\fdb-agsk\curves,7 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,7,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-013,PROTOCOL_OBSERVATION,info,cec2017,gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\gsk\curves,9 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,9,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-014,PROTOCOL_OBSERVATION,info,cec2017,dt-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2017\dt-gsk\curves,12 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,12,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-015,NAN_INF,info,cec2011,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\agsk\per_run.csv,error=NaN on all 550 rows: real-world suite carries no defined-optimum error in per_run; by design,550,"cec2011 analyses must use best_fitness, not error"
A2-016,PROTOCOL_OBSERVATION,info,cec2011,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\agsk\curves,5 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,5,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-017,NAN_INF,info,cec2011,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\apgsk\per_run.csv,error=NaN on all 550 rows: real-world suite carries no defined-optimum error in per_run; by design,550,"cec2011 analyses must use best_fitness, not error"
A2-018,PROTOCOL_OBSERVATION,info,cec2011,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\apgsk\curves,5 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,5,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-019,NAN_INF,info,cec2011,atmals-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\atmals-gsk\per_run.csv,error=NaN on all 550 rows: real-world suite carries no defined-optimum error in per_run; by design,550,"cec2011 analyses must use best_fitness, not error"
A2-020,PROTOCOL_OBSERVATION,info,cec2011,atmals-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\atmals-gsk\curves,5 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,5,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-021,NAN_INF,info,cec2011,egsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\egsk\per_run.csv,error=NaN on all 550 rows: real-world suite carries no defined-optimum error in per_run; by design,550,"cec2011 analyses must use best_fitness, not error"
A2-022,PROTOCOL_OBSERVATION,info,cec2011,egsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\egsk\curves,5 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,5,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-023,NAN_INF,info,cec2011,fdb-agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\fdb-agsk\per_run.csv,error=NaN on all 550 rows: real-world suite carries no defined-optimum error in per_run; by design,550,"cec2011 analyses must use best_fitness, not error"
A2-024,PROTOCOL_OBSERVATION,info,cec2011,fdb-agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\fdb-agsk\curves,5 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,5,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-025,NAN_INF,info,cec2011,gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\gsk\per_run.csv,error=NaN on all 550 rows: real-world suite carries no defined-optimum error in per_run; by design,550,"cec2011 analyses must use best_fitness, not error"
A2-026,PROTOCOL_OBSERVATION,info,cec2011,gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\gsk\curves,5 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,5,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-027,NAN_INF,info,cec2011,dt-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\dt-gsk\per_run.csv,error=NaN on all 550 rows: real-world suite carries no defined-optimum error in per_run; by design,550,"cec2011 analyses must use best_fitness, not error"
A2-028,PROTOCOL_OBSERVATION,info,cec2011,dt-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2011\dt-gsk\curves,6 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,6,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-029,PROTOCOL_OBSERVATION,info,cec2013,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\agsk\per_run.csv,target_error_reached early stops: 558 runs (protocol-legitimate stopping rule; nfes<MaxFES by design),558,none; budget accounting per stopping rule
A2-030,PROTOCOL_OBSERVATION,info,cec2013,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\agsk\curves,11 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,11,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-031,TRUNCATED_CONVERGENCE,soft,cec2013,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\agsk\curves,curve issue last_eval_ne_maxfes: 11 files,11,trace ends before MaxFES (early-stop or checkpoint policy)
A2-032,PROTOCOL_OBSERVATION,info,cec2013,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\apgsk\per_run.csv,target_error_reached early stops: 545 runs (protocol-legitimate stopping rule; nfes<MaxFES by design),545,none; budget accounting per stopping rule
A2-033,PROTOCOL_OBSERVATION,info,cec2013,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\apgsk\curves,10 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,10,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-034,TRUNCATED_CONVERGENCE,soft,cec2013,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\apgsk\curves,curve issue last_eval_ne_maxfes: 10 files,10,trace ends before MaxFES (early-stop or checkpoint policy)
A2-035,PROTOCOL_OBSERVATION,info,cec2013,atmals-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\atmals-gsk\curves,8 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,8,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
