claim_id,claim_type,claim_template,evidence_ids,citation_keys,risk,permitted_wording,blocked_wording,status,analysis_ids
"BG-01","background","The gaining-sharing knowledge (GSK) algorithm is a human-inspired metaheuristic whose junior and senior knowledge-transfer phases define the base operator family studied in this paper.","EC:mohamed2020gaining; phase_03/contribution_matrix.md","mohamed2020gaining","Low: misattribution of the base operator.","GSK described exactly as published (junior/senior phases; Kexp schedule; greedy selection).","Any wording implying the gaining-sharing operator is a contribution of this paper.","READY",""
"BG-02","background","Published GSK descendants adapt scalar control parameters and donor/selection policy: AGSK (KF/KR pools by success history); APGSK (extended parameter-adaptation pools); FDB-AGSK (fitness-distance-balance donor selection); eGSK (dual adaptive knowledge factors plus late local polish); ATMALS-GSK (memory-based pool tuning with adaptive local search).","EC:mohamed2020agsk; EC:mohamed2021novel; EC:fdbagsk2023; EC:jawad2024egsk; EC:alfadli2025atmals","mohamed2020agsk; mohamed2021novel; fdbagsk2023; jawad2024egsk; alfadli2025atmals","Mischaracterizing a comparator invites rebuttal.","Descriptions bounded by each evidence card's supported uses; spelling eGSK / ATMALS-GSK / FDB-AGSK / APGSK / AGSK per frozen glossary.","Comparator performance statements beyond what their evidence cards permit; spelling 'EGSK'.","READY",""
"BG-03","background","Within the cited GSK family, adaptation is scalar-parameter- and policy-level; none of the cited variants learns or exploits the interaction structure of the moves the run has already accepted.","EC:mohamed2020agsk; EC:mohamed2021novel; EC:fdbagsk2023; EC:jawad2024egsk; EC:alfadli2025atmals; phase_04/novelty_scope.md","mohamed2020agsk; mohamed2021novel; fdbagsk2023; jawad2024egsk; alfadli2025atmals","Universal-negative claim: a reviewer may cite an unlisted variant.","Gap statement scoped to the cited published variants and the 7-algorithm panel.","'No metaheuristic learns interaction structure' or any field-wide negative.","READY",""
"BG-04","background","Outside the GSK family, structure learning exists at different cost or mechanism: differential grouping spends a dedicated offline budget of objective evaluations on pairwise probing; CMA-ES learns a full sampling covariance from selected steps; eigenvector-based crossover recomputes the population-covariance eigenbasis every generation.","EC:omidvar2014dg; EC:hansen2001cmaes; EC:guo2015eig; phase_04/novelty_scope.md#1","omidvar2014dg; hansen2001cmaes; guo2015eig","Over-extending cited works beyond their evidence cards.","Comparison ONLY along the four verified dimensions (update trigger; evaluation cost; what is learned; how exploited).","Equivalence among pair graph / covariance matrix / decomposition / eigenbasis; performance numbers from cited works beyond their cards.","READY",""
"BG-05","background","No-free-lunch results bound the honest scope of any superiority claim; accordingly every comparative claim in this paper is scoped to the GSK family panel on the cited benchmark suites.","EC:wolpert1997nfl; phase_04/novelty_scope.md#2","wolpert1997nfl","Low.","NFL as motivation for bounded claim scope.","NFL used to argue DT-GSK generalizes; any field-wide superiority claim.","READY",""
"BG-06","background","Comparative evaluation follows established benchmark practice: fixed-budget CEC suite protocols with nonparametric multi-algorithm statistics (Friedman-family omnibus tests; post-hoc pairwise tests with multiplicity control).","EC:demsar2006statistical; EC:friedman1937use; EC:hussain2019metaheuristic","demsar2006statistical; friedman1937use; hussain2019metaheuristic","Low.","Methodology grounding for the statistics suite named in the Phase 5 pre-registration.","Claiming a specific statistical test is mandated by the suite organizers.","READY",""
"MT-01","method","DT-GSK inherits the GSK junior/senior gaining-sharing operator, the (1-nfes/MaxFES)^Kexp junior-dimension schedule, greedy elitist selection (ties accepted), and L-SHADE midpoint bound repair unchanged; no new base operator is claimed.","phase_03/contribution_matrix.md#rows1-4; docs/algorithms/dt-gsk.md","mohamed2020gaining; tanabe2014improving","Reviewer reads novelty into inherited parts.","'Inherited unchanged'; 'configuration, budget, structure-memory, and polish layered on the GSK scaffold'.","'Novel operator'; describing the gaining-sharing operator as novel.","READY",""
"MT-02","method","ACE runs an EMA-credit multi-armed bandit over a 5-arm (KF, KR, Kexp) operator pool (arm 3 = GSK-pure) with a min-probability floor - operator-level rather than parameter-level adaptation, with credit memory in the spirit of SHADE success history.","phase_03/contribution_matrix.md#row6; src/gsk_family/optimizers/_dt_core.py:_ace_update_probs:1205; phase_04/contribution_matrix.md#C3","mohamed2020agsk; mohamed2021novel; tanabe2013shade; fialho2010adaptive; auer2002finite","Perceived as a grab-bag component; bandit theory over-claim.","AOS/bandit sources ground the framing only; honest MOD labeling.","Claiming ACE is UCB1/D-MAB/PM/AP; transferring any regret bound to ACE.","READY",""
"MT-03","method","NLPSR keeps the x^(1-x) concave reduction shape of the APGSK NLPSR schedule but starts from dimension-scaled NP=5*D and bottoms at a tier-specific floor; explicitly not claimed as new.","phase_03/contribution_matrix.md#row5; phase_03/parameter_table.md","mohamed2020agsk; tanabe2014improving","Accidental novelty claim.","'Tier-floored variant of the APGSK NLPSR schedule'.","Any wording claiming NLPSR is new.","READY",""
"MT-04","method","ARGP (original; no direct GSK-family antecedent in the cited corpus) freezes ACE arms whose windowed acceptance falls below a tier threshold after warm-up, concentrating draws on productive operators.","phase_03/contribution_matrix.md#row7; src/gsk_family/optimizers/_dt_core.py:_argp_update_memory_probs:1273","fialho2010adaptive; auer2002finite","Novelty at this specificity may be contested.","'Original at this specificity within the cited corpus'.","Universal novelty claim; any theoretical guarantee for ARGP.","READY",""
"MT-05","method","For approximately 70% of the population the per-coordinate KR mask is replaced by a block mask over arbitrary (non-contiguous) index subsets; at D>=50 the block structure is supplied by the ISM interaction graph (the exploitation channel of C1).","phase_03/contribution_matrix.md#row8; src/gsk_family/optimizers/_dt_core.py:_make_linkage_groups:919","mohamed2020gaining; omidvar2014dg","Below-D50 fixed blocks could be read as claimed novelty.","Presented as C1's exploitation channel; fixed random (non-contiguous) blocks below D50 described as a variant, not a contribution.","Standalone novelty claim for the block crossover below D50; rotational-invariance claim.","READY",""
"MT-06","method","BSE is a triple-trigger stagnation escape (acceptance / diversity / signal floors) firing a Cauchy rescue plus archive-seeded partial restart in the JADE/SHADE archive lineage, hard-capped by bse_max_restarts and bse_stop_frac so it can never overshoot MaxFES.","phase_03/contribution_matrix.md#rows9-10; src/gsk_family/optimizers/_dt_core.py:StagnationDetector:1825","zhang2009jade; tanabe2013shade; storn1997differential","Perceived as an ad-hoc trick.","Honest MOD labeling with lineage citations; budget-safety stated as design fact.","Claiming the escape mechanism itself is original; any effectiveness claim ahead of Phase 12.","READY",""
"MT-07","method","The deep-stall restart fully re-initializes the working population on a deep stall while preserving the global best, so a restart can never lose ground (restart-never-loses-ground invariant); tiny budgets are kept inert by deep_stall_min_budget.","phase_03/contribution_matrix.md#row13; src/gsk_family/optimizers/_dt_core.py:deep_stall_fields:444","","Low: design-fact claim.","Invariant stated as a design property of the implementation.","Any claim that the restart improves results (deferred to Phase 12).","READY",""
"MT-08","method","ISM (code alias SGSM) learns a decaying (lambda=0.95) confidence- and evidence-gated coordinate-pair interaction graph from accepted moves only, at no extra objective evaluations (compute cost per phase_03/complexity_analysis.md); active at D>=50 under the pub profile; exploited as linkage blocks for the block crossover and the signed-graph eigenbasis for the eigenframe polish (an ISM-block top-k subspace local search is implemented but not enabled in the frozen configuration, which runs a coordinate local search).","phase_03/contribution_matrix.md#row11; src/gsk_family/optimizers/_dt_subsystems/interaction_graph.py:1; phase_03/complexity_analysis.md","omidvar2014dg; hansen2001cmaes; guo2015eig","Reviewer risk: 'differential grouping / covariance learning re-badged'.","'No extra objective evaluations' always with compute cost cited; four-dimension closest-work table per novelty_scope.md.","The word 'free' without the objective-evaluations qualifier; structure-recovery claim; any attribution of the D=1000 family standing to ISM; rotational-invariance claim.","READY",""
"MT-09","method","The deterministic final polish is a one-shot RNG-free compass search on the eigenbasis of the ISM signed interaction matrix in the final budget slice (coordinate axes when no graph signal); it consumes budget through the strict accounting path and is byte-identical whether it fires or not.","phase_03/contribution_matrix.md#row12; src/gsk_family/optimizers/_dt_core.py:_final_polish_basis:1894","kolda2003directsearch; nelder1965simplex","Reviewer risk: 'a local-search bolt-on; why not standard NM?'.","Conceptual-level comparison to direct search per the kolda2003directsearch card; differentiator is where the basis comes from plus determinism.","Transferring any generating-set-search convergence guarantee; implying equivalence to generating-set search.","READY",""
"MT-10","method","A 13-substream append-only prefix-locked counter-based RNG layer child-seeds all subsystems from one run seed; toggling any subsystem cannot disturb any other subsystem's draw order - the property that makes byte-stable ablation and exact reproduction possible (test-enforced).","phase_03/contribution_matrix.md#row15; src/gsk_family/optimizers/_dt_rng.py:1; tests/regression/test_dt_gsk_byte_stable.py","","Perceived as engineering rather than science.","Framed as the evaluation-integrity infrastructure underpinning C3 (controlled family evaluation), not as a numbered contribution; it is what makes every other claim checkable.","Claiming comparator reimplementations are byte-stable; performance claims for the RNG layer.","READY",""
"MT-11","method","All objective evaluations - including polish and escape evaluations - are charged through a strict budget-accounting path; runs are budget-exact, monotone, and repeat-identical per the Phase 3 deterministic trace.","phase_03/deterministic_trace; phase_03/PHASE_3_gate_report.md","","Low: verified by trace artifacts.","Budget exactness stated as a verified design fact.","Any implication that comparators share this accounting guarantee.","READY",""
"PR-01","protocol","Primary suite: the CEC2017 bound-constrained suite - 29 functions (F1, F3-F30; F2 excluded per protocol), D in {10, 30, 50, 100}.","EC:awad2016problem; papers/governance/benchmark_protocol_audit.md; T07:protocol_reproducibility_summary","awad2016problem","Suite citability was CR-0005; resolved - awad2016problem is now citable.","Suite definition cited via awad2016problem per CR-0005; F2 exclusion stated as protocol.","Describing the F2 exclusion as an omission or a data problem.","READY",""
"PR-02","protocol","Secondary real-world suite: CEC2011 at native problem dimensions; error column is NaN by design on problems without published optima - best_fitness is authoritative there.","EC:das2011cec2011; papers/governance/data_ledger.csv","das2011cec2011","NaN error column misread as missing data.","'Error NaN by design; best_fitness authoritative'.","Treating NaN error cells as data-quality defects; headline claims resting on CEC2011 alone.","READY",""
"PR-03","protocol","Second comparison suite: CEC2013 panel results are reported for breadth of comparison.","EC:liang2013cec2013; T06:cec2013_panel_results","liang2013cec2013","Independence over-claim (no development-history evidence on record).","'Second comparison suite' only; 'hold-out' survives ONLY as the frozen name of the Phase-12 SGSM-overlay ablation design.","Calling CEC2013 'independent', 'holdout', or 'validation' in the main text.","READY",""
"PR-04","protocol","Run counts and budgets: 51 runs per (function, dimension) on CEC2017 with MaxFES = 10^4*D; 25 runs per problem on CEC2011 with MaxFES = 150000; paired optimizer-independent seed schedule keyed (dim, func, run).","EC:awad2016problem; EC:das2011cec2011; papers/governance/seed_and_pairing_audit.md; T07:protocol_reproducibility_summary","awad2016problem; das2011cec2011","Budget or run-count misstatement breaks protocol compliance.","Exact counts as frozen; pairing described via the seed schedule audit.","Any run-count or budget figure differing from the frozen protocol.","READY",""
"PR-05","protocol","Error-value convention: CEC2017 error values below 1e-8 are treated as zero per suite convention.","EC:awad2016problem; papers/governance/benchmark_protocol_audit.md","awad2016problem","Low.","Stated as the suite's reporting convention.","Presenting the 1e-8 floor as an accuracy achievement.","READY",""
"PR-06","protocol","Fair-start protocol: all panel algorithms consume runner-generated shared X0; the single documented exception is DT-GSK self-init, which draws its own 5*D initial population from the same fair-start stream - recorded in <T07:protocol_reproducibility_summary>.","T07:protocol_reproducibility_summary; papers/governance/seed_and_pairing_audit.md; phase_03/contribution_matrix.md#row16","","Undisclosed exception would be a fairness flaw; disclosure mitigates.","Self-init named as the documented exception, drawn from the same stream.","Hiding the exception; claiming all algorithms share identical X0 without qualification.","READY",""
"RS-01","primary-result","Within the 7-algorithm GSK-family panel on CEC2017, DT-GSK attains Friedman mean rank <T05:friedman_rank_overall> overall (Iman-Davenport corrected).","T05:friedman_rank_overall; F01:cd_diagram_per_dim","friedman1937use; demsar2006statistical","Rank stated before Phase 6 binding would be fabrication.","'Within the GSK family panel' mandatory in every superiority sentence. NARROWED (Phase 6): overall Friedman mean rank 2.482759 (best of 7; eGSK second at 2.961207) is the unweighted mean of the four per-dimension Friedman mean ranks - a descriptive aggregation with NO cross-dimension test attached; the Iman-Davenport correction applies to each per-dimension omnibus (all four significant at alpha=0.05), not to the overall row. Robustness: LOFO and pooled-block aggregation agree; DT-GSK ordinals stable under median endpoint.","Field-wide superiority; 'state-of-the-art'; any concrete rank before Phase 6 binding; describing the overall row itself as Iman-Davenport corrected/tested.","NARROWED_PHASE_6","AN-OMNI-2017-D10;AN-OMNI-2017-D30;AN-OMNI-2017-D50;AN-OMNI-2017-D100;AN-RANKAGG-2017-OVERALL;AN-ROB-2017-01;AN-ROB-2017-03;AN-ROB-2017-04;AN-ROB-2017-08"
"RS-02","primary-result","Within the panel on CEC2017 at D10, DT-GSK attains Friedman mean rank <T05:friedman_rank_D10>.","T05:friedman_rank_D10; F01:cd_diagram_per_dim","friedman1937use; demsar2006statistical","Same as RS-01.","'Within the GSK family panel'.","Field-wide superiority; concrete rank before Phase 6.","ACCEPTED_PHASE_6","AN-OMNI-2017-D10"
