mechanism,status,d10,d30,d50,d100,instantiated,trigger_reachable,consumes_objective_calls,uses_rng_stream,state_updated,output_consumed,paper_section,note
ACE adaptive control engine,active,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,"Sec. 3.3.1, Eq. (7)",Arm selection per individual per generation; credit from fitness deltas.
ARGP acceptance-rate gated pruning,active,yes,yes,yes,yes,yes,yes,no,no,yes,yes,Sec. 3.3.2,argp_enabled resolved from the frozen profile.
Optional DE arm (ACE pool),active (mid tiers only),no,yes,yes,no,conditional,20<=D<100,yes,yes,yes,yes,Sec. 3.3.1,ace_de_entry from the frozen profile; excluded at D>=100.
Interaction-structure memory (ISM) graph,active (D>=50),no,no,yes,yes,conditional,D>=50,no,no,yes,yes,"Sec. 3.4, Eq. (11)",interaction_graph_enabled; feeds linkage blocks and the polish basis.
Eigenframe final polish,active (D>=50),no,no,yes,yes,conditional,"D>=50, final budget slice",yes,no,no,yes,Sec. 3.6 (C1),"One-shot, RNG-free; incumbent re-materialized atomically at entry."
Coordinate local search,active (all tiers),coordinate,coordinate,coordinate,coordinate,yes,yes,yes,yes,yes,yes,Sec. 3.5,local_search_method resolved from the frozen profile.
ISM-block top-k subspace local search,"DORMANT (implemented, not enabled)",no,no,no,no,no,no,no,no,no,no,Sec. 3.5 (disclosed as not enabled),local_search_method=='coordinate' and local_search_auto_subspace False at every tier; locked by tests/regression/test_dormant_mechanisms_unreachable.py.
TR-GSK trust-region displacement governor,REMOVED,n/a,n/a,n/a,n/a,no,no,no,no,no,telemetry column only,Sec. 3.6 (stated as removed),Deleted at v4.1-paper-freeze (_dt_core.py:3345). terra_trust_clip_rate retained as a schema-stable column pinned at 0.0; every assignment asserted == 0.0 by test.
Linkage-reliability / predicted-value admission gate,DORMANT (never instantiated),no,no,no,no,no,no,no,no,no,no,Sec. 3.6,LinkageReliabilityState / PredictedValueGate are optional fields defaulting to None; the frozen profile never populates them.
research_oracle_blocks / research_oracle_basis hooks,DORMANT (unreachable),no,no,no,no,no,no,no,no,no,no,not claimed; recorded here only,"Keyword-only params of dt_gsk_optimize defaulting to None; absent from DTGSKConfig, from every profile, and from the public adapter (no **kwargs forwarding). Unreachability asserted by test_dormant_mechanisms_unreachable.py."
