category,gate,consensus_score_of_5,weight,weighted_score,evidence,blocking_or_driving_tickets,critical_major_count
Journal fit and scientific significance,"B, D",4.00,8,6.40,"s2-4 Gate B/D conditional PASS; topic is squarely in scope for MDPI Algorithms (algorithmic contribution, full mechanism specification, reproducible artifact chain). Deducted from 5: the organising question is ISM-shaped while the ISM result is the null (SE-030), and the cover letter states the headline without the abstract's qualifiers (SE-029).","SE-029, SE-030",0 / 0
Novelty and contribution boundary,D,3.00,12,7.20,"C1 is the only added mechanism with an isolated Holm-significant effect and is genuinely novel in this family. C2's sole originality claim (ARGP) is a pre-specified exclusion from every ablation and the main text falsely says the study covers 'each scaffold subsystem' (SE-015). C3 claims reproducibility infrastructure as a scientific contribution. R-08 correctly closed: three contributions, ISM supporting. Novelty boundary asserted at three inconsistent scopes (SE-024).","SE-015, SE-024, SE-030",2 Major
"Theory, method, or algorithmic correctness",F,4.00,14,11.20,"s6 recomputed all 13 displayed equations symbolically against the byte-locked source after independently re-verifying all four freeze SHA-256s: NO equation is wrong, the R1-canonical SGSM EMA defect is genuinely fixed, evaluation accounting is sound (single BudgetController, no direct objective call, MaxFES-exact by construction), and no convergence claim is smuggled. Deducted from 5: three shipped ISM parameters appear in no specification surface and the linkage-channel prose overstates by ~2x (SE-012); R-01/R-02 propagation misses (SE-027).","SE-012, SE-027",1 Major
Experimental or study design,H,3.00,14,8.40,"Design answers the panel-scoped question and the seven-method panel is intact. But three fairness statements are falsifiable from the shipped release: the MaxFES-equality claim (SE-002, 1,845 runs verified by SE), the comparator-constants provenance with an undisclosed 5x population asymmetry (SE-008, verified by SE from all seven run_config.json), and the eGSK solver substitution bounded only for runtime (SE-011). Selection exposure unquantified (SE-014).","SE-002, SE-008, SE-011, SE-014",4 Major
Statistical validity,I,3.00,14,8.40,"s9 and s10-11 independently recomputed every Friedman rank vector, all 48 across-function Wilcoxon p-values, all W/T/L triples, tie-correction factors, Nemenyi CDs, global-Holm sensitivity, BCa intervals, class ranks and robustness counts from the frozen release with ZERO numerical mismatches. Every defect is in the printed specification, provenance, or governance: the effect-size referent (SE-001), the mixed corrected/uncorrected omnibus columns (SE-007), the false scale-invariance claim (SE-019), and unlogged post-outcome analysis changes with missing register rows (SE-020).","SE-001, SE-007, SE-019, SE-020",2 Major
Evidence and citation integrity,"E, G",4.00,8,6.40,"s7-12 recomputed 3,403/3,403 release checksums (712 MB, 0 mismatch), 130/130 analysis-bundle, 59/59 exhibit checksums, 1,239 source opens with 0 outside the release, exact row counts, 0 duplicate seeds, 0 NaN/Inf, identical seeds across all seven optimizers, threefry in all 36 cells. s5 verified 57 bib entries to 57 local PDFs, 40/40 cited in main.bbl, exact PDF/DOCX bibliography parity, no fabricated or unverifiable reference, no patchwriting. Deducted from 5: one omitted author (SE-023), an adverse competitor mischaracterisation (SE-024), and stale/unenforced governance bindings (SE-022, SE-025).","SE-022, SE-023, SE-024, SE-025",0 / 0
"Results, discussion, and limitations",J,3.00,8,4.80,"Every headline number re-derived exactly by four independent seats. Loss visibility on CEC2017/CEC2011 is exemplary - the abstract itself carries the D=30 second place, the Holm-significant CEC2011 loss to eGSK, and the Nemenyi non-separability. Deducted: the A12 referent defect renders in the results narrative (SE-001), the omnibus columns are mixed (SE-007), the cross-commit determinism finding is invisible to the reader (SE-009), a false APGSK existence claim persists (SE-017), and the limitations enumeration miscounts and omits the self-initialization asymmetry (SE-028).","SE-001, SE-007, SE-009, SE-017, SE-028",4 Major
"Robustness, sensitivity, and ablation logic",K,3.00,6,3.60,"The ablation programme is well-designed where it runs (51-run scaffold remove-one at four dimensions, promoted immutable release, negative results retained, cautious identifiability language). Deducted: ZERO parameter-sensitivity evidence exists and the absence is disclosed nowhere (SE-016), and ARGP - the sole element claimed as original - is excluded from every ablation design (SE-015).","SE-015, SE-016",2 Major
Reproducibility and open-science readiness,L,2.00,7,2.80,"The evidence itself is intact and fully checksummed. The published route to it is not. SE measured the freeze envelope directly: 15/15 against this working tree, 10/15 against HEAD, 7/15 against the DECLARED anchor commit - check_manifest's 15/15 is a machine-local property (SE-003). reproducibility_manifest.json is two evidence releases stale and the runbook the Data Availability statement names does not reproduce the paper (SE-004). This is the lowest-scoring category and the one a reproducing reviewer would hit first.","SE-003, SE-004, SE-022, SE-040",2 Major
"Writing, exhibits, and presentation","M, N",3.00,5,3.00,"Gate N is strong: s15 found ZERO canonical AI tells across the whole package and a distinct human voice; no claims-strengthening and no detector evasion. Gate M is not: SE measured the shared legend running off the canvas in 25 of 25 convergence figures INCLUDING both main-text figures, with the proposed method's own label 32 pt past the page edge (SE-005); Figure 4 renders in-figure text at 4.2 pt (SE-013); Table A19 loses a column off the sheet (SE-006). Score is the mean of a weak M and a strong N.","SE-005, SE-006, SE-013, SE-026, SE-036",3 Major
