class,path_pattern,count,status,notes
meta_snapshot,anchor_commit=262fc16c91fbe5608a1a0b0c5df3cbcd009edc21,1,recorded,"branch main; snapshot date 2026-07-10; project_root=D:/AI/PhD-Projects/00-GSK-Family/02-GSK_Family_Python_v1.1; git_root=D:/AI/PhD-Projects; enumeration read-only (Phase 0 task 7); classification only - scientific admissibility deferred to later phases; results/_ablation counts are volatile (live staging campaign running during preflight; non-blocking per Section 0.3)"
manuscript_source,papers/*.tex,3,present,"main.tex; supplementary.tex; cover_letter.tex"
manuscript_source,papers/sections/*.tex,6,present,"conclusions.tex; introduction.tex; literature_review.tex; performance.tex; proposed_algorithm.tex; supplementary_content.tex"
manuscript_tables,papers/tables/T*.tex,19,present,"T01-T16 plus T16_bca plus T21-T22; numbering gap T17-T20 has no files (recorded as observation only; admissibility/expected-set check deferred to Phase 4/7)"
manuscript_figures,papers/figures/convergence/*.pdf,9,present,"figure PDFs in convergence/"
manuscript_figures,papers/figures/flowchart/*.pdf,1,present,"figure PDF in flowchart/"
manuscript_figures,papers/figures/ranks/*.pdf,2,present,"figure PDFs in ranks/"
manuscript_figures,papers/figures/taxonomy/*.pdf,1,present,"figure PDF in taxonomy/"
manuscript_figures,papers/figures/traces/*.pdf,4,present,"figure PDFs in traces/"
manuscript_figures,papers/figures/diagrams/*.pdf,0,present,"subdirectory exists but contains no files (empty); no PDFs at top of papers/figures/ either"
manuscript_built_pdf,papers/*.pdf,5,present,"DT-GSK.pdf; DT-GSK-clean.pdf; DT-GSK-CEC2017-review.pdf; supplementary.pdf; cover_letter.pdf (rendered outputs; not sources)"
journal_template,papers/Definitions/*,5,present,"mdpi.cls; mdpi.bst; journalnames.tex; logo-mdpi.eps; logo-mdpi-eps-converted-to.pdf - provisional target journal = MDPI (class option 'algorithms' in papers/main.tex); quartile and page limits NOT claimed here (Phase 4 verifies); cover_letter targets Swarm and Evolutionary Computation = instruction conflict recorded for Phase 4 disposition"
bibliography,papers/references.bib,57,present,"57 BibTeX entries via grep -c '^@'"
bibliography,reference_papers/references.bib,57,present,"secondary bib copy inside literature folder; 57 entries via grep -c '^@'; identity vs papers/references.bib to be audited in Phase 1 (reference_inventory.csv)"
literature_pdf,reference_papers/*.pdf,57,present,"57 PDFs; count matches 57 bib entries; folder also holds PAPERS_LIST.md; README.md; references.bib"
evidence_root,benchmarks/cec_reference_results/,24,present,"read-only immutable evidence root (Phase 0 task 4); 5 suites (cec2011 cec2013 cec2013lsgo cec2017 cec2020); 24 suite-x-optimizer cells; per-cell layout: <opt>_<suite>[_D*].csv summaries + per_run.csv + curves/ + gen_logs/ + provenance (environment.json phase0_protocol.json run_config.json verification.json seed_schedule.csv)"
