eq_id,label_tex,name,equation,defines,code_anchor,class
E1a,eq:junior-idx,Junior knowledge-source indices,"R1=rank(r-1), R2=rank(r+1), R3~U(pop)\{i,R1,R2}",R1;R2;R3 (junior),gained_shared_junior.py:56,inherited
E1b,eq:senior-idx,Senior knowledge-source indices,"R1~best_group, R2~mid_group, R3~worst_group; groups=round(p*NP)",R1;R2;R3 (senior),gained_shared_senior.py:59,inherited
E2,eq:kexp-schedule,Junior dimension schedule,"D_jun = ceil(D*(1-x)^Kexp), x=t/MaxFES",D_jun,_dt_core.py (Kexp path),inherited
E3,eq:gsk-update,Gaining-sharing update,"junior: u_i = x_i + KF*[(x_{R1}-x_{R2}) + s_J*(x_{R3}-x_i)]; senior: u_i = x_i + KF*[(x_{R1}-x_{R3}) + s_S*(x_{R2}-x_i)]; s_J=+1 if f(x_i)>f(x_R3) else -1; s_S=+1 if f(x_i)>f(x_R2) else -1 (i.e. +1 when the fitness-compared source -- junior R3, senior R2 -- is fitter than x_i)",trial u_i,_numba_accel.py (gsk kernel),inherited
E4,eq:kr-mask,Crossover mask,"v_ij = u_ij if (mask_ij) else x_ij; mask = Bernoulli(KR) or a linkage-block mask shared across the block B containing j; blocks are chunks of a random coordinate permutation (arbitrary index sets, NOT contiguous ranges)",trial v_i,_build_phase4_masks:926,modified
E5,eq:nlpsr,Nonlinear population reduction,NP(x) = NP_init + (N_min - NP_init)*x^(1-x)  [round half-up],NP(x),_dt_core.py:790 / _numba_accel.py:909,modified
E6,eq:ace-update,ACE bandit credit + probability,"d_m = sum_i(f(x_i)-f(v_i)) per arm; S = sum_m d_m; tau = d/S if S>0, else max(d,0)/sum max(d,0) if S<0 and any d_m>0, else hold; pi <- P((1-c)pi + c P(tau)) with P = Euclidean projection onto {y_m>=pi_min, sum y=1}",pi;d;S;tau,_ace_update_probs:1203;_ace_project_probs:694,modified
E7,eq:midpoint-repair,L-SHADE midpoint bound repair,"v_ij <- (x_ij + bound_j)/2 if v_ij out of [l_j,u_j]",repaired v_i,bound_constraint.py:1,inherited
E8,eq:greedy-accept,Greedy (ties accepted) selection,"(x_i,f_i) <- (v_i,f(v_i)) iff f(v_i) <= f(x_i)",accepted pop,dt_gsk_optimize accept step,inherited
E9,eq:bse-cauchy,Budget-safe escape Cauchy rescue,"x_i <- repair(x_i + gamma*C(0,1)) for worst round(r_c*NP) UNFROZEN rows (top round(0.05*NP) elites frozen); r_c=bse_cauchy_frac=0.10 is the Cauchy fraction, NOT the r_rst restart fraction; capped by R_max, x<bse_stop_frac",escaped rows,cauchy_like:1412 / StagnationDetector:1813,modified
E10,eq:sgsm-graph,SGSM interaction-graph EMA,"G <- lambda*G + eta*sum(outer(delta_accepted)) over strictly-improving accepted moves only (DE weight 0, LS weight 0.25); this is the UPDATE only -- the conf>=kappa_min consumption gate (ig_ready) is separate and not part of this EMA",interaction graph G,interaction_graph.py:1,original
E11,eq:eigen-polish,Eigenframe compass polish,"x* <- compass_search(x*, V=eig(G_signed), strict budget, no RNG)",polished incumbent,_final_polish_basis:1882 / _final_polish_compass:1907,original
E12,eq:rng-substreams,Substream child-seeding,"stream_k = threefry_child(seed, k), k in [0..12]; stream_0 = threefry(seed)",13 RNG substreams,_dt_rng.py:1,original
