claim_id,surface,manuscript_location,claim_text_abridged,claim_class,evidence_offered,verification_performed,verification_result,evidence_ceiling_max_supported_wording,disposition,ticket_id,review_stage,reviewer_role,severity,priority,confidence,issue_type,claim_id_or_artifact_id,concise_issue,exact_evidence_or_observation,root_cause,scientific_or_editorial_justification,impact_on_validity_or_acceptance,required_correction,acceptable_alternatives,additional_evidence_needed,dependencies,expected_improvement,post_revision_verification,status
C-001,title,main.tex:90-91,DT-GSK: Dimension-Tiered Adaptive Control and Deterministic Refinement for Gaining-Sharing Knowledge Optimization,NOVELTY,Title names mechanisms only; no performance word.,Read main.tex:90-91 and rendered PDF p.1 (pdftotext line 3-5).,Title carries no performance or priority claim; ISM is absent from the title (consistent with the R-08 C1-C3 decision).,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-002,abstract,main.tex:127-153 / PDF p.1,Published GSK variants adapt scalar control and donor/selection policy at one operating point.,BACKGROUND,BG-02/BG-03 rows of claims_evidence_matrix.csv; evidence cards for the five cited variants.,Cross-read related_work.tex:16-131 and the matrix rows.,Scoped to the cited variants; matrix blocked_wording forbids a field-wide negative and none appears.,As printed (bounded to the cited GSK lineage).,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-003,abstract,main.tex:138-142 / PDF p.1 lines 24-27,"DT-GSK attains the best overall Friedman mean rank in the seven-algorithm GSK-family panel (2.48, a descriptive across-dimension mean), first at three of four dimensions.",STATISTICAL_RESULT,AN-RANKAGG-2017-OVERALL; friedman_ranks_cec2017_overall.csv; friedman_ranks_cec2017_D*.csv.,Recomputed from papers/analysis/rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_overall.csv and the four per-dimension files.,"EXACT: dt-gsk overall 2.482759 (best); egsk 2.961207 (second). Per-dimension 2.8793/2.5000/2.2069/2.3448 -> first at D10/D50/D100, second at D30. 'first at three of four dimensions' confirmed.","'the best descriptive across-dimension mean of the per-dimension Friedman mean ranks within this seven-algorithm panel on CEC2017 (2.48), first at D=10/50/100' - already the printed wording.",accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,AN-RANKAGG-2017-OVERALL,,,,,,,,,,,,verified
C-004,abstract,main.tex:143-145,"It is second behind eGSK at D=30 and on CEC2011 (a Holm-significant loss), and the two are never Nemenyi-separable.",STATISTICAL_RESULT,nemenyi_cd_cec2017_D*.csv; wilcoxon_holm_cec2011.csv; friedman_ranks_cec2011.csv.,Computed all DT-GSK/eGSK rank gaps against the released CD for every suite/dimension.,TRUE but broader than the body. CEC2017 gaps 1.362/0.207/0.414/0.345 vs CD 1.672993; CEC2011 gap 0.841 vs CD 1.920799; CEC2013 gaps 1.464/0.304/0.679 vs CD 1.702606 (D10/D30/D50). CEC2011 Holm p=4.244817e-02 (loss). The body asserts non-separability only for CEC2017 ('on this suite') and CEC2011; no CEC2013 Nemenyi statement exists anywhere in the manuscript.,'never Nemenyi-separable on CEC2017 or CEC2011' is what the body supports; the unscoped 'never' is true of the release but is nowhere established in the text a reader can check.,qualify,S3-T12,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P3,Confirmed,claim-scope,AN-OMNI-2013-D10/D30/D50,Abstract asserts an unscoped 'never Nemenyi-separable' whose CEC2013 leg is never stated or exhibited in the manuscript.,"main.tex:143-145 vs conclusions.tex:47-50 ('never Nemenyi-separable on this suite') and performance.tex:537-540 (CEC2011 gap 0.84 < CD 1.92). No CEC2013 CD value appears in main text, supplement, or any caption, although nemenyi_cd_cec2013_D{10,30,50}.csv exist in the release (CD = 1.702606).",Abstract generalized a two-suite statement to all three suites without adding the third suite's CD anywhere.,A reader cannot audit a universal claim from the manuscript's own exhibits; §4.6 forbids generalizing beyond what is shown even when the underlying number happens to agree.,"Low - the claim is true against the release; the defect is auditability, not correctness.","Either scope the abstract to 'never Nemenyi-separable on CEC2017 or CEC2011', or add the CEC2013 CD (1.70) and the three gaps to §4.4.",Add one clause to §4.4: 'the DT-GSK-eGSK gaps (1.46/0.30/0.68) also lie inside this suite's CD of 1.70'.,None - already in the release.,None,Abstract claim becomes reconstructible from the printed evidence.,grep the rendered PDF for a CEC2013 CD value or for the narrowed abstract wording.,open
C-005,abstract,main.tex:146-147,A direct isolation finds no detectable standalone benefit from the interaction-structure memory---a controlled negative result.,STATISTICAL_RESULT,X-ABL-02 / Supplement S6.5 (abl-rel-2026-07-20).,Read supplementary.tex:1978-2062 (S6.5 table + text) and S6.6.,"S6.5 covers CEC2017 D50/D100 and CEC2013 D50 only, n=51, three single-toggle contrasts; Holm p = 0.983/0.897/0.647, A12 = 0.51/0.50/0.42, delta-rank +0.05/+0.16/+0.20.","'at the memory's active tiers (D=50 and D=100 on CEC2017, D=50 on CEC2013) a direct isolation detects no standalone benefit'.",narrow,S3-T11,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P3,Confirmed,claim-scope,X-ABL-02 (S6.5),"The abstract states the ISM null with no suite, dimension, or design scope; §10.9-as-narrowed requires every main-text sentence touching the null to stay scoped to §S6.5.",main.tex:146-147 carries no qualifier; conclusions.tex:89-90 correctly says 'at the memory's active tiers'; supplementary.tex:2031-2040 bounds the finding to CEC2017 D50/D100 + CEC2013 D50.,Abstract length pressure; the tier qualifier present elsewhere was dropped here.,"An unscoped null invites the reading that structure learning was tested and failed generally, which the design cannot support (S6.6: 'consistent with zero rather than establishing it').","Low, but it is the single most-read sentence about the null.",Insert 'at its active tiers' (three words) into the abstract sentence.,'A direct isolation at D>=50 finds no detectable standalone benefit...',None.,None,Abstract null matches the S6.5 evidence boundary.,Re-read the rendered abstract for the tier qualifier.,open
C-006,abstract,main.tex:144-145,CEC2017 was configuration-selection exposed; CEC2011 and CEC2013 are corroborative.,LIMITATION,LM-01; RS-10; performance.tex:103-111; Supplement S5.3.,Cross-read performance.tex:98-111 and supplementary.tex:1148 (Configuration Selection and Development Protocol).,"Disclosure present in abstract, setup, discussion and supplement; this closes the M-022 development-exposure ticket.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-007,abstract,main.tex:147-152,"The contributions are the dimension-tiered adaptive control, the budget-exact refinement, and a reproducible within-family evaluation---not a single-component gain.",NOVELTY,MT-01; contribution bullets C1-C3 (introduction.tex:86-133).,"Compared abstract, introduction bullets, conclusions and cover letter.",Three contributions everywhere; ISM is demoted to a supporting mechanism in all four surfaces. R-08 correctly closed.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-008,abstract,main.tex:138-139,...under a budget-fair paired protocol.,PROTOCOL,PR-06; performance.tex:164-178; tests/regression/test_budget_crossing_semantics.py.,See ticket S3-T05 - the comparator-side leg of this claim is the one with a scope gap.,"Pairing by seed/problem/run is fully evidenced (seed_and_pairing_audit.md, 70,813 rows recomputed, 0 mismatches). The budget-equality leg is evidenced by a single-cell regression test.","'paired by common seed, problem and run index, with all seven optimizers charged exactly MaxFES'.",qualify,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-010,introduction,introduction.tex:26-32,"This paper stays inside one family and asks whether a GSK-family algorithm can learn, at no extra objective evaluations, which coordinates improve together.",RESEARCH_GAP,BG-03; hussain2019metaheuristic / del2019bio survey citations.,Read introduction.tex:16-32 and the matrix BG-03 row.,Gap is explicitly scoped to the cited GSK variants; the matrix blocks any field-wide negative and none is printed.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-011,introduction,introduction.tex:87-100,"C1 - an eigenframe final polish; one-shot, RNG-free, every probe charged; no convergence guarantee claimed; the isolation removes the entire compass endgame so the learned-basis question remains open.",NOVELTY / LIMITATION,MT-09; proposed_algorithm.tex §3.5; S6.5 basis-isolation gap.,Read introduction.tex:87-100 and PDF lines 1115-1128.,"The self-limiting clause is present and matches the supplement's own statement that the no_sgsm cell is null, so the significant effect is the endgame, not the basis.",As printed - this is a model of a correctly bounded contribution claim.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
