citation_key,appendix_b_group,appendix_b_role,sanctioned_uses,prohibited_overextensions,usage_condition,evidence_card,identity_status,notes
mohamed2020gaining,GSK family (B.1),"GSK origin, inherited mechanics, thematic comparison","Citing GSK as the origin of the algorithm family and of the exact junior/senior mechanics that DT-GSK inherits (equations, parameters, sorting-based neighbor selection). | Stating the original GSK reference protocol (suites, dims, runs, budgets, error zeroing) and reference parameter setting. | Stating that original GSK ranked first on the CEC2017 score metric against 10 classical/recent metaheuristics, and third by Friedman on CEC2011 (with AMO/SFS ahead). | Thematic framing: human-inspired algorithm taxonomy (Fig. 1, Tables 1–4).","Do NOT claim GSK outperformed CEC-competition winners or LSHADE-class algorithms — none were compared here. | Do NOT claim GSK is best on CEC2011 — it ranked third (Table 27) and was ≈ to AMO/SFS/TLBO/BBO. | Do NOT cite journal pagination (1501–1529) as locators for this local file (online-first copy). | Do NOT attribute any parameter adaptation, population-size reduction, or local search to this paper — those appear only in later variants. | ""Significantly better ... especially with high dimensions"" (abstract) is relative to the 10 compared algorithms only.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/mohamed2020gaining.md,verified,
mohamed2020agsk,GSK family (B.1),AGSK method and family baseline,"Citing AGSK as the family's first adaptive-parameter variant: pool-based (Kf,Kr) adaptation, dual-regime K, LPSR with N_min = 12. | Family-baseline description of AGSK's exact mechanism and parameter values for reproduction. | Stating AGSK outperformed GSK and GSK_LPSR significantly on CEC2020, and topped the CEC2020 score metric against four LSHADE-family algorithms (with the caveat that most pairwise Wilcoxon tests vs those were not significant).","Do NOT cite this paper for ""AGSK was runner-up of the CEC2020 competition"" — that statement is in apgsk2021, p. 65936. | Do NOT generalize AGSK's superiority to CEC2017/CEC2011 or to D ≥ 30 — evidence covers CEC2020, D ≤ 20 only. | Do NOT claim statistically significant superiority over LSHADE/ELSHADE-SPACMA in general — 12/16 Wilcoxon cases were non-significant (Table XIII). | Do NOT attribute negative-kf pools or non-linear population reduction to AGSK — those are APGSK features (apgsk2021).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/mohamed2020agsk.md,verified,
apgsk2021,GSK family (B.1),APGSK/adaptive-parameter family baseline,"Citing APGSK as the adaptive-parameter family baseline: negative-kf pool, NLPSR, adaptive K, enlarged NP — with exact settings for reproduction. | Stating APGSK's Friedman-first results on CEC2020 vs GSK/GSK_NLPSR (significant) and vs LSHADE-family/CEC2020 winners (mostly non-significant; rank-based). | Citing the documented fact that AGSK was the CEC2020 runner-up (p. 65936). | Family-lineage narrative: GSK → AGSK → APGSK.","Do NOT claim APGSK significantly beats IMODE, J2020, or AGSK — Wilcoxon shows no significant differences (Table 17), and IMODE leads at D = 20. | Do NOT claim APGSK was validated on engineering problems from this paper — the title notwithstanding, experiments are CEC2020 benchmarks only. | Do NOT extrapolate the LSHADE-deterioration diagnosis beyond CEC2020's low-dimension/large-budget regime. | Do NOT use this paper for CEC2017 protocol or results.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/apgsk2021.md,verified,
fdbagsk2023,GSK family (B.1),FDB-AGSK and fitness-distance-balance family baseline,"Citing FDBAGSK (Case-1) as the fitness–distance-balance family baseline and describing its exact guide-replacement mechanism. | Supporting the statement that FDB-based guide selection improved AGSK's exploration/balanced search on CEC2017+CEC2020 at D = 30/50/100 (51 runs, Friedman + Wilcoxon), **at a 1000×D budget**. | Citing independent (non-Mohamed-group) evidence that AGSK exhibits premature convergence on multimodal/hybrid/composition problems (as this paper's diagnosis, at its budget). | Noting jawad2024egsk and alfadli2025atmals adopt FDBAGSK **Case-1** as the representative variant (see those cards).","Do NOT compare FDBAGSK's error values numerically to family results computed at 10,000×D budgets — budgets differ by 10×. | Do NOT claim FDBAGSK was compared to GSK, APGSK, or eGSK here — it was not (benchmark side compares AGSK only). | Do NOT cite this paper's AGSK parameterization (popsize_init = 40×n, linear reduction) as the canonical AGSK — cite mohamed2020agsk for that. | Do NOT use ORPF case results as general-purpose benchmark evidence. | Do NOT claim D = 10 behavior — untested here.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/fdbagsk2023.md,verified,
alfadli2025atmals,GSK family (B.1),ATMALS-GSK and memory/local-search family baseline,"Citing ATMALS-GSK as the memory/local-search family baseline, with its exact adaptation machinery (Gaussian + EWMA + powered RWS + shrinking local search). | Supporting statements that within the GSK family (as measured here), ATMALS-GSK ranks first overall on CEC2017 with eGSK second, and that its advantage grows with dimension while D = 10 is only competitive. | Family-panel cross-checks: this paper provides an independent 51-run CEC2017 family table including GSK, AGSK, APGSK, FDBAGSK, eGSK at the standard 10,000×D budget. | Citing the acknowledged computational-overhead limitation of memory-based adaptation + local search.","Do NOT claim ATMALS-GSK is significantly better than FOWFO — every Wilcoxon vs FOWFO is ≈ (Table 19), and Friedman margins are 1.72 vs 1.75. | Do NOT claim superiority over the improved family variants at D = 10 — Wilcoxon ≈ (and 8/5/16 vs FDBAGSK); FDBAGSK ranks first at D = 10 in Table 18. | Do NOT cite a runtime/complexity comparison — none is reported; only a qualitative overhead admission (p. 61). | Do NOT treat CEC2020 or engineering applications as covered — only CEC2011 and CEC2017 are tested. | Avoid quoting exact adaptive ranges without noting the Table 1 / Algorithm 4 inconsistency (Sect. 6 of this card).",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/alfadli2025atmals.md,verified,
jawad2024egsk,GSK family (B.1),eGSK family baseline and verified mechanism scope,"Citing eGSK as the enhanced-GSK family baseline with its three verified mechanisms (population-sum selection, phase-specific self-adaptive Kf after 75% budget, SQP escape at 75% budget). | Supporting the claim that eGSK dominates the GSK family at D = 30/50/100 on CEC2017 but is weak/competitive-only at D = 10 (a family-wide mid/high-D vs low-D pattern relevant to DT-GSK's positioning). | Documenting that eGSK's reference implementation relies on SQP — the mechanism-scope anchor for DT-GSK's EGSK port discussion. | Stating that FDBAGSK Case-1 is the variant adopted by follow-on family papers.","Do NOT cite this as a 2024 preprint fact-source; the local, admissible source is the 2025 published article (metadata above). Keep bib-update handling in the change-request pipeline, not in prose. | Do NOT claim eGSK is best at D = 10 (it is significantly worse than AGSK there) or best at D = 100 vs all metaheuristics (DEPSO ranks first at D = 100). | Do NOT claim eGSK beats FOWFO significantly — all Wilcoxon vs FOWFO are non-significant. | Do NOT present the SOTA comparison as a common-environment rerun — numbers were taken from original papers. | Do NOT attribute LPSR or parameter pools to eGSK — its NP is fixed at 100 with Kr = 1 and phase-specific Kf adaptation.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/jawad2024egsk.md,minor_metadata_mismatch,identity_status=minor_metadata_mismatch; corrected metadata in reference_inventory.csv notes (bib fix via change request only)
hpe_agsk2025,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,Related-work breadth: cite as a 2025 strategy-improvement AGSK variant (ESS/HPES/RGS) evaluated on CEC 2021/2018 with Friedman + Wilcoxon statistics. | Evidence that the GSK-variant literature itself groups improvements into population / hybrid / strategy / composite categories (pp. 4–5) — useful for positioning DT-GSK's mechanism class. | Evidence that archive-of-eliminated-individuals and negative-kf (reverse/repulsion) devices exist in the GSK family (pp. 10–11). | Secondary (non-primary) locator for AGSK/APGSK mechanics; primary citations remain mohamed2020agsk and apgsk2021.,"Do NOT cite as evidence that HPE-AGSK beats all comparators everywhere: it loses the 000 configuration at both dimensions and is not significantly different from IMODE at 50D/100D (Tables 6, 15, 16). | Do NOT cite for performance at D > 100, on CEC2011/CEC2017-style real-world problems, or on any suite DT-GSK uses unless the suite matches. | Do NOT use the p. 27 prose ""outstanding exploration ability"" wording without noting the exploration/exploitation label swap; rely on Tables 10–12 semantics. | Do NOT present the BVR result as general engineering evidence — one scenario, 10 repeats. | No claim of relevance to DT-GSK's specific mechanisms may be sourced here; this paper does not discuss DT-GSK.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/hpe_agsk2025.md,verified,
epd_gsk2024,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work breadth: a 2024 diversity-enhancement framework for GSK/AGSK/APGSK (Sobol init + junior Cauchy mutation + senior reverse learning), validated on CEC2017/2020/2022 with Wilcoxon/Friedman, 30 runs. | Evidence that the GSK literature itself diagnoses diversity loss / local-optimum trapping as GSK's core weakness (Sect. 1, p. 2; Abstract). | Evidence that Cauchy-type heavy-tailed perturbation and opposition/reverse-learning devices have precedent inside the GSK family (Eqs. (11)–(12), p. 5) — relevant when positioning any DT-GSK mechanism that uses heavy-tailed moves (e.g., BSE Cauchy basis discussed via yao1999evolutionary per Appendix B.5). | Evidence of component-ablation methodology in GSK variants (EPDa/b/c design, Sect. 4.3).","Do NOT claim EPD-GSK is state-of-the-art beyond the tested suites/dimensions (max 30D; CEC2022 comparison uses mostly recent nature-inspired algorithms, not CEC winners such as LSHADE lineage). | Do NOT cite the ""no additional computational complexity"" claim as if runtime-neutral — measured time increases for the Cauchy component (p. 10). | Do NOT infer that the framework reliably improves APGSK: gains are small and non-uniform (Tables 10–13, 16). | Not usable for CEC2011 real-world evidence or any D >= 50 claim; does not discuss DT-GSK.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/epd_gsk2024.md,verified,
pogsk2023,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work breadth: a 2023 GSK variant combining multi-population parallelism, Taguchi-orthogonal communication, and OBL, tested on CEC2017 (10/30D) and an IoV scheduling application. | Evidence that opposition-based learning and multi-population devices have been grafted onto GSK (mechanism locators above). | Evidence of the observed fragility of GSK under subpopulation splitting (p. 9) — relevant if DT-GSK discusses population-structure design choices.",Do NOT describe POGSK's wins as statistically significant — no significance tests were run. | Do NOT generalize beyond 10D/30D CEC2017 or beyond the four classical comparators; no evidence vs modern CEC winners or other GSK variants. | Do NOT cite the IoV study as real-world deployment evidence; it is a randomized simulation model. | Does not discuss DT-GSK or any of its mechanisms.,cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/pogsk2023.md,verified,
chalabi2023mogsk,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work breadth: the GSK family extends to multiobjective optimization via archive + FNS/CD + epsilon-dominance (first MO extension claim, verified mechanism). | Evidence that GSK's operators transfer to MO settings with mixed results (strong on mechanical-design RWMOPs, weak on power electronics/systems) — usable, with locators, when delimiting the family's demonstrated scope. | Evidence that parameter sensitivity is acknowledged inside the GSK family and adaptive parameters were an open MO direction as of 2023 (p. 32).","Do NOT cite as statistically validated superiority — no hypothesis tests. | Do NOT cite as evidence about single-objective GSK performance; all results are multiobjective. | Do NOT quote a single evaluation budget without noting the 60,000 vs 6,000 internal inconsistency if the number is load-bearing. | Do NOT claim MOGSK is best across all RWMOP categories (fails on power electronics/power systems, p. 32). | Does not discuss DT-GSK; single-objective mechanism claims must not be sourced here.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/chalabi2023mogsk.md,verified,
