# Stage 13 - Figures, tables, equations, algorithms and visual-evidence audit (Gate M)
# Seat s13_exhibits | package: git HEAD 45248eb31, freeze anchor abd2fa2f25c8, evidence release rel-2026-07-20-67d9345f9
# Section 1: exhibit inventory, Appendix A.4 schema. Section 2 (below the marker row): findings in the mandatory section 5.4 ticket schema.
# Homogeneous supplement figure families that share one generator and one defect are audited as one row each, with their members named in artifact_id.
artifact_id,type,document_location,research_question,source_paths,generator,command,source_checksums,output_checksum,caption_complete,value_or_point_validation,legibility,accessibility,cross_format_match,issue_ticket_ids,status,notes
FIG-1 (fig:gsk-flowchart),figure/flowchart,main PDF p.11; sections/proposed_algorithm.tex:158-166,What is the control flow of the inherited base-GSK generation loop?,papers/figures/concept/fig_gsk_flowchart_src.tex -> fig_gsk_flowchart.pdf,standalone TikZ (authored; no empirical input),pdflatex fig_gsk_flowchart_src.tex,n/a (authored diagram),sha256 5e51c73e5e247b7a1f572eecce03d5616c21f5ff50cc5acf097cdf597ccbf1d2,NO - the caption gives no citation for the published algorithm it depicts,n/a (no data); step content agrees with the Sec.3.1 recap,OK (vector; on-page text ~7-8 pt),OK (no colour fills; shape + text encoding),yes (DOCX word/media/rId20.png),S13-16;S13-17,open,Depicts GSK (ref [5]); the TikZ source header records it is drawn 'in the same clean vertical style as the original GSK paper (Fig. 10)' yet the printed caption carries no citation. Conventions diverge from its paired Figure 2 (S13-17).
FIG-2 (fig:dtgsk-flowchart),figure/flowchart,main PDF p.13; sections/proposed_algorithm.tex:168-182,What is the DT-GSK control flow and which boxes are added to the GSK skeleton?,papers/figures/concept/fig_dtgsk_flowchart_src.tex -> fig_dtgsk_flowchart.pdf,standalone TikZ (authored),pdflatex fig_dtgsk_flowchart_src.tex,n/a (authored diagram),sha256 656917a186c13ee0f0079f3719a5953814a00ce4770935a8450f2e08471927f6,partial - bold-outline convention defined; the bracketed gate notation is not,FAIL - the accept box contradicts Eq.(9)/Alg.1 step 15; the crossover box misstates the per-row split,OK (vector; height=0.86 textheight),"OK (line-weight encoding, no colour dependence)","yes (DOCX rId24.png; same content, same defect)",S13-08;S13-17,open,"fig_dtgsk_flowchart_src.tex:45 'greedily accept improving trials' contradicts the manuscript's own named modification (no worse, <=, ties accepted). Line 43 '(D>=10; else the KR mask)' reads as a dimension-conditioned either/or, but Eq.(5), Alg.1 step 12 and Tables 4-5 specify a tier-dependent FRACTION of rows plus a confidence gate."
FIG-3 (fig:cec2017-ranks),figure/grouped bar chart,main PDF p.26; sections/performance.tex:349-357,How do the seven panel algorithms rank per CEC2017 dimension?,rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_D10|D30|D50|D100.csv,papers/scripts/generate_rank_charts.py,python papers/scripts/generate_rank_charts.py,recorded in papers/governance/artifact_binding.csv (FIG-CEC2017-RANKS),"sha256 a6cb579443da0e6b7dbb8b70842fe77983c6197b71ea006c0873ff648f712e36 - independently recomputed, matches papers/governance/artifact_binding.csv","yes (metric, N=29, 51 runs, direction, robustness and APGSK-gap qualifiers)",PASS - bar heights equal Table 13 and the released CSVs; y-axis starts at 0; no truncation or 3-D effect,marginal - smallest on-page text measured 5.98 pt (PDF p.26),"partial - Okabe-Ito palette is CVD-safe, but category identity is carried by fill colour ALONE (no hatch); fails grayscale","yes (DOCX rId59.png); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-14;S13-19,open,Adds no information over Table 13 and is subsumed by Figure 4 (same ranks plus the CD span). Candidate for removal or relocation under the page budget.
FIG-4 (fig:cd-cec2017),figure/2x2 Nemenyi CD grid,main PDF p.28; sections/performance.tex:459-474,Which algorithms are separable by the Nemenyi critical difference at each dimension?,rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_D*.csv; rel-2026-07-20-67d9345f9/cec2017/nemenyi_cd_cec2017_D*.csv,"papers/scripts/generate_nemenyi_cd.py (render_cd_grid, line 270)",python papers/scripts/generate_nemenyi_cd.py,NOT RECORDED for the shipped grid; only the four single-panel PDFs are bound in papers/governance/artifact_binding.csv,sha256 de79a8c7504c0635aef8a4351f3972a4d5c0c286b0530856e460476574688fb0 - ABSENT from papers/governance/artifact_binding.csv (0 hits),"yes (k, N, alpha, CD, q; within-one-CD cohorts listed, including eGSK best at D=30)","PASS - bar values equal Table 13; CD=1.67 equals nemenyi_cd_cec2017_D10.csv (1.672993, q=2.949)",FAIL - measured on-page text 4.18 / 4.71 / 5.23 pt (11.4x8.8 in canvas placed at textwidth = 0.541 scale),OK (two-tone black/grey; values printed beside each bar),"yes (DOCX rId64.png, same shrink); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-01;S13-07;S13-12,open,Three independent defects: (a) illegible at final size; (b) per-panel x-limits x_max*1.22 put the four comparable panels on different scales so the constant CD renders at different physical lengths; (c) the shipped grid PDF has no artifact-binding row.
FIG-5 (fig:cec2011-ranks),figure/horizontal bar chart,main PDF p.29; sections/performance.tex:563-571,How do the seven algorithms rank over the 22 CEC2011 real-world problems?,rel-2026-07-20-67d9345f9/cec2011/friedman_ranks_cec2011.csv,papers/scripts/generate_rank_charts.py,python papers/scripts/generate_rank_charts.py,recorded in papers/governance/artifact_binding.csv (FIG-CEC2011-RANKS),"sha256 33abc4ebec47f7f397337a2ded762a79698d9879a9c10d25ed441961c98d5852 - independently recomputed, matches papers/governance/artifact_binding.csv","yes (n=22, 25 runs, basis, sort rule, direction, and the Holm-significant LOSS stated inside the caption)",PASS - 2.52/3.36/3.89/4.07/4.66/4.75/4.75 agree with the prose and the released CSV,marginal - value labels ~5.6-6.3 pt on page (0.70 textwidth embed),OK (two-tone; values printed),"yes (DOCX rId71.png); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,"Exemplary loss-visibility: the single Holm-significant adverse headline cell is stated in the caption, alongside the ranking, not deferred to later prose."
FIG-6 (fig:conv-cec2017-d30),figure/2x2 convergence overlay,main PDF p.31; sections/performance.tex:702-718,How do the seven algorithms converge at D=30 on the four prespecified functions?,benchmarks/cec_reference_results CheckpointErrors gen_logs; papers/build_prompt_phases/phase_05/curve_selection.csv,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,recorded in papers/governance/artifact_binding.csv (FIG-CONV-MAIN-D30),"sha256 cf3b6f936152ac222ce9952f7a334058c83ffb93749b961d1e859d0f5e3d4b2a - independently recomputed, matches papers/governance/artifact_binding.csv","yes (frozen selection rule, per-checkpoint mean over 51 runs, no smoothing, 1e-14 display floor, mandated adverse case named, APGSK qualifier)","PASS - 7/7 series in every panel per figures/convergence/cec2017_missing.log; no missing, omitted or interpolated curve",OK-ish (in-figure text ~7.3-8.3 pt at 0.92 textwidth),OK (Okabe-Ito colour PLUS seven distinct dash patterns; grayscale-safe),"yes - DOCX rId78.png carries the IDENTICAL legend crop; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-02,open,"The 'one shared legend' the caption promises is clipped at both ends: the first entry's line sample is cut off and the last entry - DT-GSK, the proposed method - loses its label entirely. Root cause: generate_full_convergence.py:150 fig.legend(ncol=7, fontsize=9) is wider than the 6.165 in canvas and line 153 save_figure(exact_size=True) sets bbox_inches=None (_convergence_common.py:222), so the tight crop that used to absorb the overflow is gone (N-011 regression)."
FIG-7 (fig:conv-cec2017-d100),figure/2x2 convergence overlay,main PDF p.32; sections/performance.tex:721-731,"How do the seven algorithms converge at D=100, the tier where ISM and the polish are active?",benchmarks/cec_reference_results CheckpointErrors gen_logs; phase_05/curve_selection.csv,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,recorded in papers/governance/artifact_binding.csv (FIG-CONV-MAIN-D100),sha256 dcf80afd33bd667dd5cd0c5657b0e5f741acae63450ae2998c2cfb1dabe1630d,"partial - aggregation, floor and legend stated, but unlike Figure 6 it does not restate the selection rule or the APGSK-availability qualifier",PASS - 7/7 series per panel (cec2017_missing.log),OK-ish (~7.3-8.3 pt),OK (colour + dash encodings),"yes - DOCX rId82.png carries the identical legend crop; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-02,open,Same clipped shared legend as Figure 6.
ALG-1 (alg:dt-gsk),algorithm/pseudocode,main PDF p.10; build_prompt_phases/phase_03/algorithm_pseudocode.tex (input at proposed_algorithm.tex:153),What is the canonical DT-GSK generation loop and its frozen step order?,papers/build_prompt_phases/phase_03/algorithm_pseudocode.md (frozen loop order); _dt_core.dt_gsk_optimize,authored canonical transcription (ART-PSEUDOCODE),n/a (hand-maintained; hash-tracked in artifact_binding.csv),n/a,sha256 4496c205e624a948c4acd490dd4808da26ea0984bab83e9c56b16f59d1fdf78e,yes (states what is retained versus modified; defers the subsystem order to Section 3),"PASS - 25 steps, phase headers and gate thresholds agree with the Sec.3.2 (1)-(13) enumeration, Table 5 and the frozen code anchors",FAIL - wrapped continuation lines collide with the step-number gutter,"OK (numbered steps, phase group headers, no colour dependence)","yes - the DOCX renders it as editable numbered paragraphs, not an image; validate_cross_format_parity.py: 579 rows, FAIL=0",S13-04;S13-20;S13-27,open,"Measured span origins on PDF p.10: step-number column x=78.5-88.5 pt, step-body column x=108.4 pt; the two step-12 continuations begin at x=93.8 and 93.6 pt and the step-14 comment continuation 'non-selectable' at x=93.5 pt - left of the body column, inside the numbering gutter. Gate M names collision explicitly. Equation pointers are also asymmetric (S13-20) and the float leaves ~30% of p.10 blank (S13-27)."
EQ-1 (eq:junior-idx),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,Junior knowledge-source indices,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor gained_shared_junior.py:56,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS,OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
EQ-2 (eq:senior-idx),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,Senior knowledge-source indices,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor gained_shared_senior.py:59,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS,OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
