citation_key,word_tag,tag_scheme,bibtex_entry_type,word_source_type,word_source_store,admissible,status,notes
mohamed2020gaining,mohamed2020gaining,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
mohamed2020agsk,mohamed2020agsk,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
apgsk2021,apgsk2021,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
fdbagsk2023,fdbagsk2023,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
alfadli2025atmals,alfadli2025atmals,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
jawad2024egsk,jawad2024egsk,"bibkey-identity (deterministic, stable across builds)",misc,Misc,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
hpe_agsk2025,hpe_agsk2025,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
epd_gsk2024,epd_gsk2024,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
pogsk2023,pogsk2023,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
chalabi2023mogsk,chalabi2023mogsk,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
ma2023mgskdpmo,ma2023mgskdpmo,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
apgsk_imode2024,apgsk_imode2024,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
nabahat2024hybrid,nabahat2024hybrid,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
nomer2021gskrl,nomer2021gskrl,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
zhong2021gskhho,zhong2021gskhho,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
navaneetha2022gskde,navaneetha2022gskde,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
liang2024gskwoa,liang2024gskwoa,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
jalali2021opposition,jalali2021opposition,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
