ticket_id,severity,work_item_id,gate_affected,recheck_test,verification_command_or_method,pass_criterion,regression_scope,artifacts_to_revalidate,evidence_required_to_close,blocking_for_gate_Q,status
SE-001,Major,W07,"C, I, J, M",Effect-size referent resolves,python - : count A_{12} occurrences in papers/sections/performance.tex and compare with the number of A12 objects printed in papers/tables/T15.tex; for each quoted effect-size value assert a matching column exists in papers/analysis/rel-2026-07-20-67d9345f9/primary_stats/statistical_results.csv; extend validate_evidence_bindings.py with that assertion,Zero prose references to a column Table 14 does not print; every quoted statistic resolves to a released CSV column; exactly one definition per statistic in the paragraph,Section 4.2 and 4.2.3 prose; Table 14; abstract effect-size wording; DOCX equivalents; claims matrix row RS-08,"DT-GSK.pdf pp.24 and 27, DT-GSK.docx, T15.tex, statistical_results.csv, claims_evidence_matrix.csv",Rendered PDF page showing the corrected paragraph; validator output; a diff proving no numeric value changed,yes,resolved
SE-002,Major,W02,"C, H",Budget census matches the printed count,Re-run the termination census over every benchmarks/cec_reference_results/*/*/per_run.csv and total the target_error_reached rows,"Census returns 1,845; the printed sentence states that count, the two optimizers, and the 1e-8 floor argument; renders in PDF and DOCX",Section 4.1 protocol paragraph; abstract 'budget-fair' wording; conclusions; cover letter,"DT-GSK.pdf p.19, DT-GSK.docx, cover_letter.pdf",Census output; rendered sentence in both formats,yes,resolved
SE-003,Major,W01,"A, L",Clean-room freeze verification,git archive <new-anchor> | extract into an empty directory outside the working tree | python papers/scripts/check_manifest.py,15/15 match OUTSIDE the author's working tree; anchor_commit equals the commit holding the pinned bytes; a stamping commit exists,All 15 pinned artifacts; submission_package_manifest.json; the freeze_statement narrative,"main_manuscript_freeze_manifest.json, submission_package_manifest.json, .gitattributes",Terminal transcript of the clean-room extraction and check_manifest run,yes,resolved
SE-004,Major,W01,L,Reproducibility route executes,Execute the corrected papers/governance/runbook.md end to end from rel-2026-07-20-67d9345f9 into a clean tree; diff the produced PDF against papers/DT-GSK.pdf,The runbook produces the shipped PDF and DOCX; reproducibility_manifest.json names rel-2026-07-20-67d9345f9 with the shipped artifact hashes and a current double-rebuild record,Data Availability statement; the two dead generators; the ablation run count,"reproducibility_manifest.json, runbook.md, DT-GSK.pdf, DT-GSK.docx",End-to-end execution transcript plus the PDF diff,yes,resolved
SE-005,Major,W09,M,No off-canvas glyphs in any figure,python - : for every papers/figures/convergence/*.pdf use pdfplumber extract_words and assert min(x0) >= 0 and max(x1) <= page_width; add the assertion to papers/scripts/validate_build_hygiene.py,Zero off-canvas glyphs across all 25 figures; all seven series labelled and legible in Figures 6 and 7,All 25 convergence figures; the DOCX rasters; supplement Figures B3-B25,"papers/figures/convergence/*.pdf, DT-GSK.pdf p.28, supplementary.pdf, both DOCX",Measurement output for all 25 files; visual confirmation of Figures 6 and 7,yes,resolved
SE-006,Major,W11,"M, P",Supplement has zero overfull boxes,grep -c 'Overfull' papers/supplementary.log; re-extract supplementary.pdf p.48 and assert all seven Table A19 Notes cells are present; extend validate_cross_format_parity.py to compare cell TEXT,Zero overfull boxes; every Notes cell renders inside the text block; the parity gate compares cell content and reports 0 FAIL,Table A19; the parity validator's table checks,"supplementary.pdf p.48, supplementary.docx, supplementary.log",Log grep output; extracted p.48 text showing complete Notes cells,yes,resolved
SE-007,Major,W07,"I, J",Omnibus p-values match the corrected column,"python - : assert every printed omnibus p equals the corrected Iman-Davenport column of the released statistical_results.csv to the printed precision, for all three suites; add the assertion to validate_evidence_bindings.py",All three suites quote the corrected column; the CEC2013 caption bound matches; Section 4.1's declaration and the printed values agree,Section 4.1 declaration; all omnibus sentences; the CEC2013 caption; the A.7 register rows,"DT-GSK.pdf pp.20-30, DT-GSK.docx, statistical_results.csv",Assertion output; rendered values in both formats,yes,resolved
SE-008,Major,W02,H,Panel configuration matches the released configs,python - : assert the NP values printed in Table 3 equal those in every benchmarks/cec_reference_results/cec2017/*/run_config.json,Exact match for all seven; the actual constant source is cited; the limitations paragraph conceding the uncontrolled asymmetry renders,Table 3 and its provenance note; related-work APGSK sentence; conclusions limitations; comparability_audit.md,"DT-GSK.pdf Table 3, DT-GSK.docx, the seven run_config.json files",Assertion output; the rendered limitations paragraph,yes,resolved
SE-009,Major,W02,"G, H, J",Determinism claims are scoped,grep every determinism sentence in papers/sections/*.tex and the cover letter; confirm each is scoped to DT-GSK in its declared environment and that the comparator disclosure renders,"No unscoped cross-panel reproducibility claim survives; the 3,772-diff finding is disclosed in one sentence",Section 4.1; conclusions; cover letter; supplement determinism subsection,"DT-GSK.pdf, DT-GSK.docx, cover_letter.pdf, supplementary.pdf",grep output plus the rendered disclosure,yes,resolved
SE-010,Major,W03,O,GenAI declaration is accurate at all four loci,"Confirm the revised wording renders at main.tex back matter, Acknowledgments, performance.tex:189-190 and the cover letter in both PDF and DOCX; extend validate_document_consistency.py:192-202 beyond the cover letter",No absolute AI-independence claim survives; every model version is named; the validator covers all four loci and fails if any drifts,All four disclosure loci; cover_letter.md; the consistency validator,"DT-GSK.pdf, DT-GSK.docx, cover_letter.pdf, cover_letter.md",Rendered text at all four loci; validator output proving it now fails on a seeded drift,yes,resolved
SE-011,Major,W02,H,eGSK disclosure covers performance,Read papers/sections/performance.tex:33-39 and conclusions.tex:71-74; confirm the disclosure names the substituted component as a search mechanism with its budget share and classifies the comparison class B,The disclosure no longer bounds only runtime; Table 3's eGSK row carries the class-B marker,Section 4.1; conclusions; Table 3; comparability_audit.md,"DT-GSK.pdf, DT-GSK.docx",Rendered disclosure in both formats,yes,resolved
SE-012,Major,W02,F,ISM parameters are fully specified,python - : assert every parameter in build_pub_config appears in the supplement Complete Operator Specification table or a main-text parameter table; re-read the ISM linkage prose against _dt_core.py:3013-3018,"interaction_linkage_mix_prob, interaction_restart_decay and interaction_post_restart_cooldown all appear; the linkage sentence states the 0.5 mixture",Tables 9 and 10; supplement operator specification; ISM prose,"DT-GSK.pdf, supplementary.pdf, both DOCX",Assertion output; the rewritten linkage sentence,yes,resolved
SE-013,Major,W10,M,Figure 4 is legible at final size,Measure minimum glyph height in the embedded Figure 4 at \textwidth scale; assert identical x-limits across the four comparable panels,Minimum in-figure text >= 8 pt at final scale; the CD bar renders at one physical length across the four panels,Figure 4; performance.tex:461 embedding width,"DT-GSK.pdf p.28, DT-GSK.docx, nemenyi_cd_cec2017_grid.pdf",Measurement output; visual confirmation,yes,resolved
SE-014,Major,W04,I,Selection exposure is quantified,"Confirm the attested count (or explicit bound), cells and criterion render in supplement S5.3 and that the main-text echo matches","A number or an explicit bound, the cells, and the criterion all render; the outside-the-release statement is retained",Supplement S5.3; the performance.tex echo,"supplementary.pdf, supplementary.docx, DT-GSK.pdf",Rendered attestation in both formats,yes,resolved
SE-015,Major,W08,"D, K",Ablation coverage is stated accurately,grep 'each scaffold subsystem' across papers/sections/*.tex; confirm the three exclusions are named in the main text and that C2's wording no longer rests solely on an untested element,"Zero hits for the false coverage phrase; ARGP, final polish and deep-stall restart are named as untested; C2 narrowed",proposed_algorithm.tex:267; introduction.tex C2 bullet; conclusions limitations; supplement S6,"DT-GSK.pdf, DT-GSK.docx, supplementary.pdf",grep output; the rewritten C2 bullet and exclusion sentence,yes,resolved
SE-016,Major,W08,K,Sensitivity absence is disclosed,Confirm the limitation sentence stating that no parameter-sensitivity study was performed renders in PDF and DOCX and appears in the supplement's limitation enumeration,The sentence renders in both formats and both documents,Conclusions limitations; supplement S5.4,"DT-GSK.pdf, DT-GSK.docx, supplementary.pdf",Rendered limitation sentence,yes,resolved
SE-017,Major,W08,"C, J",No false existence claim about APGSK,python - : assert every 'unavailable' assertion about APGSK matches an availability flag in the released bundle; confirm the runtime remains correctly marked unavailable,The seed-deterministic cells are stated as available; the non-deterministic runtime stays disclosed-unavailable; the Figure 4 caption is corrected,Section 4 availability sentence; Figure 4 caption; supplement per-run source note,"DT-GSK.pdf, DT-GSK.docx, supplementary.pdf, the released wilcoxon_run/effect_sizes/bca_ci files",Assertion output; the corrected sentence and caption,yes,resolved
