requirement_id,source_location,requirement_text,mandatory_or_advisory,manuscript_or_artifact_location,verification_method,status,reviewer,notes
RC-001,"PAPER_REVIEW_PROMPT.md 1.1 (lines 40-66)","Identify or populate every review variable; never invent a missing value.",mandatory,"papers/review_2026_07_22/review_configuration.md 1","Each variable resolved to a repo artifact and cross-checked against a second source (freeze manifest, evidence manifest, git).",pass,s0-1_preflight,"All variables bound. Two are recorded as unavailable rather than invented: live journal instructions (HTTP 403 at Phase 4) and the repository DOI (out of scope per 1.5.4)."
RC-002,"PAPER_REVIEW_PROMPT.md 1.2 (lines 70-84)","The full review SHOULD receive the 13 listed package elements.",advisory,"papers/, papers/governance/, benchmarks/cec_reference_results/","Directory inventory plus existence check per element.",partial,s0-1_preflight,"11 of 13 present as bound. Item 5 (current official author instructions) unavailable. Item 4 partially mis-bound: SAP and exhibit plan live under papers/build_prompt_phases/, external-gate mapping absent (ticket S01-009)."
RC-003,"PAPER_REVIEW_PROMPT.md 1.3 (lines 90-98)","Record every missing item, its affected claims, continue valid tasks, do not fabricate, classify affected gate BLOCKED.",mandatory,"review_configuration.md 4","Missing-input table with downstream effect per row.",pass,s0-1_preflight,"Six missing/unresolvable inputs recorded. Journal-verification classified BLOCKED (administrative), not PASS."
RC-004,"PAPER_REVIEW_PROMPT.md 1.4 (lines 102-114)","Apply the 9-level authority precedence order unless the project defines a stricter one.",mandatory,"review_configuration.md 2","Precedence order written out and applied; the orchestrator override recorded at rank 2b.",pass,s0-1_preflight,"Repository state outranks the prompt's own 1.5 snapshot (dated 2026-07-20, predates R-01..R-14). Recorded as ticket S01-006."
RC-005,"PAPER_REVIEW_PROMPT.md 1.5 (lines 118-602)","Read the dated current-status snapshot first; it populates input variables with current values.",mandatory,"papers/PAPER_REVIEW_PROMPT.md 1.5, 1.5.0-C; 10.7 RT-001 bullet; 10.9 removal note","Compared every load-bearing snapshot assertion against the repository.",fail,s0-1_preflight,"STALE. Ledger 73/80 vs actual 80/80 terminal; RT-001 described as re-timing six comparators but resolved by narrowing the table to DT-GSK only; manifest *_refreeze blocks retired; S6.7 slot reused. Ticket S01-006. Release ids in the snapshot are correct."
RC-006,"PAPER_REVIEW_PROMPT.md Stage 0 check 1 (line 1257)","Record the manuscript, supplement, code, data, and analysis versions or hashes.",mandatory,"review_configuration.md 1","SHA-256 from the freeze manifest re-verified by check_manifest.py; page counts measured independently from the PDFs and the LaTeX logs.",pass,s0-1_preflight,"check_manifest.py 15/15 exit 0. 39/61/2 pages confirmed twice (PDF page objects and Output-written log lines)."
RC-007,"PAPER_REVIEW_PROMPT.md Stage 0 check 2 (line 1258)","Confirm PDF, Word, LaTeX, tables, figures, and supplement refer to the same manuscript version.",mandatory,"papers/DT-GSK.{pdf,docx}, papers/supplementary.{pdf,docx}, papers/sections/*.tex, papers/tables/*.tex","Newest source edit (45248eb31) probed in both PDF and DOCX text; cross-format parity re-run; table inputs traced to their including document.",pass,s0-1_preflight,"Both probes present in PDF and DOCX. Parity 579 rows / 0 FAIL and byte-identical to the committed CSV. All 19 table .tex files are input by a built document."
RC-008,"PAPER_REVIEW_PROMPT.md Stage 0 check 3 (line 1259)","Extract every mandatory requirement from the governing development prompt and audit the governance package.",mandatory,"papers/PAPER_BUILD_PROMPT.md; papers/governance/","Governance directory audited for existence and internal consistency; the build RTM was tested as a seeding source and rejected.",partial,s0-1_preflight,"RTM line anchors no longer resolve against the current 7,864-line build prompt and the RTM has no status column, so seeding per 10.1 is not available (ticket S01-005). This matrix was built independently."
RC-009,"PAPER_REVIEW_PROMPT.md Stage 0 check 4 (line 1260)","Create requirements_compliance_matrix.csv with the nine specified columns.",mandatory,"papers/review_2026_07_22/requirements_compliance_matrix.csv","This file.",pass,s0-1_preflight,"Schema followed exactly."
RC-010,"PAPER_REVIEW_PROMPT.md Stage 0 check 5 (line 1274)","Identify conflicts among manuscript, protocol, analysis plan, code, and evidence metadata.",mandatory,"governance/project_configuration.md; governance/reproducibility_manifest.json; governance/main_manuscript_freeze_manifest.json","Release identifier and anchor cross-comparison across every current-state governance artifact.",fail,s0-1_preflight,"Three conflicts confirmed: freeze anchor vs pinned bytes (S01-001); reproducibility manifest bound to 07-10 release (S01-002); controlled analysis area bound to 07-10 release and a false open-R-0004 statement (S01-003)."
