# Phase 5 (tasks 13-14) source resolution map - PRE-REGISTERED BEFORE ANY OUTCOME INSPECTION. Date: 2026-07-10.
# Maps every EMPIRICAL exhibit of phase_04/exhibit_plan.csv (71 rows total) to its release input class inside the
# immutable evidence release rel-2026-07-10-262fc16c9 (benchmarks/cec_reference_results/, anchor 262fc16c91fbe5608a1a0b0c5df3cbcd009edc21).
# All release_paths are relative to benchmarks/cec_reference_results/. {alg} ranges over the P1 panel order:
# gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk (7 algorithms; exhibit_plan.csv P1).
# input_resolution vocabulary: summary_per_function | per_run | checkpoint_logs.
#
# NON-EMPIRICAL ROWS (26; authored/conceptual/equation/analytic/governance-authored; NOT mapped here, no release input):
#   A1, E1a, E1b, E2, E3, E4, E5, E6, E7, E8, E9, E10, E11, E12, T-NOTATION, T-PARAMS, F-ARCH, F-SGSM-MECH,
#   F-GATING, F-TAXONOMY, T-FAMREV, T-WORKED, T07-PROTOCOL, T-PANEL, S-REPRO, F-NLPSR.
#   (T-PARAMS binds phase_03/parameter_table.md + algorithm_freeze_manifest.json - frozen configuration, not evidence.
#    T07-PROTOCOL/T-PANEL/S-REPRO are authored from governance artifacts + release METADATA files only, no outcome data.)
# RESERVED ROWS (3; skipped): X-ABL-01, X-ABL-02, X-ABL-03 - DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY per P6; their evidence
#   release does not exist; results/_ablation staging is QUARANTINED and forbidden as an input in every phase.
# Mapped empirical rows below: 42. per_run_required=yes rows: 14.
#
# APGSK CEC2017 GAP (binding; papers/governance/phase2_anomaly_register.csv A2-004/A2-006 + seed_and_pairing_audit.md Sec.6 anomaly A1):
#   cec2017/apgsk/per_run.csv covers D100 ONLY (1479 rows = 29 func x 51 runs). Run-level quantities vs apgsk at CEC2017
#   D10/D30/D50 are NOT available from per_run.csv. Pre-registered disposition (fixed now, before any outcome is seen):
#   (i) per-function run-level tests/effect sizes/CIs vs apgsk at CEC2017 D10/D30/D50 are marked disclosed-unavailable
#       (explicit n/a cells + table footnote); NEVER imputed, never silently dropped from row counts;
#   (ii) the DT-GSK-vs-apgsk comparison at those dimensions is carried by the pre-specified FUNCTION-LEVEL Wilcoxon
#        signed-rank across the 29 per-function means (GSK-family convention; summary CSVs are complete for apgsk at all dims,
#        verified 580/580 == gen_logs final checkpoint, seed_and_pairing_audit.md Sec.6);
#   (iii) apgsk D100 run-level analyses proceed normally (per_run.csv verified 1479/1479 vs gen_logs);
#   (iv) OPTIONAL RECOVERY (not exercised here): gen_logs final-checkpoint columns as sanctioned per-run source for apgsk
#        cec2017 D10/D30/D50 (audit Option 1) is admissible ONLY via a registered change request + data-ledger entry
#        BEFORE Phase 6 execution; absent that CR, disposition (i)-(iii) stands.
# APGSK CEC2017 GAP -- RESOLVED CR-0006 (2026-07-11): the registered change request anticipated by disposition (iv) is now filed.
#   cec2017/apgsk/per_run.csv has been restored to all 4 dims (5916 rows) by a validated deterministic recovery of the A2-004 data loss
#   (scripts/recover_apgsk_perrun.py; the recovered D10/D30/D50 rows reproduce the frozen summary CSVs EXACTLY). Disposition (i)'s
#   disclosed-unavailable marking for apgsk run-level cells at CEC2017 D10/D30/D50 is therefore RESOLVED: T02/T02-FULL-D10/D30/D50,
#   T03/T03-FULL-D10/D30/D50, T-BCA and T-RUNTIME apgsk columns at those dims are now computed. The function-level basis (ii) and D100
#   normalcy (iii) are unchanged. Completeness correction only (phase2_anomaly_register A2-004 -> RESOLVED-CR-0006; decision_log D-0011);
#   frozen summary CSVs and primary/function-level results unchanged; no claim upgraded. The T-SENS disclosed-unavailable (EG-006
#   parametric-sweep gap) is a SEPARATE, still-open gap and is NOT affected by this recovery.
# CEC2011 NOTE (A2-017): per_run.csv error column is NaN by design on cec2011; all cec2011 run-level analyses use best_fitness.
exhibit_id,input_resolution,release_paths,per_run_required,apgsk_cec2017_gap_disposition,notes
T01-SUM,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv; W/T/L cells inherit from T02 inputs cec2017/{alg}/per_run.csv",yes,"Descriptive cells unaffected (summaries complete for apgsk, all 4 dims). W/T/L-vs-apgsk cells at D10/D30/D50: run-level per-function W/T/L disclosed-unavailable {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}; report the function-level Wilcoxon outcome for the apgsk column at those dims per disposition (ii); D100 W/T/L run-level as normal.","Headline table: descriptive stats resolved at summary level; W/T/L counts are derived from the T02 per-function Wilcoxon+Holm outcomes (per_run), never recomputed independently."
T05,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv",no,"n/a - Friedman uses per-function mean errors from summary CSVs; apgsk summaries complete for all 4 dims (verified 580/580 vs gen_logs, seed_and_pairing_audit.md Sec.6).","Friedman + Iman-Davenport per dimension and overall; function-level aggregation only (pseudoreplication rule). Feeds friedman_ranks output family."
F01-D10,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D10.csv",no,n/a - summary-level input; apgsk D10 summary present.,"Nemenyi CD diagram from D10 Friedman ranks (same input as T05)."
F01-D30,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D30.csv",no,n/a - summary-level input; apgsk D30 summary present.,"Nemenyi CD diagram from D30 Friedman ranks."
F01-D50,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D50.csv",no,n/a - summary-level input; apgsk D50 summary present.,"Nemenyi CD diagram from D50 Friedman ranks."
F01-D100,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D100.csv",no,n/a - summary-level input; apgsk D100 summary present.,"Nemenyi CD diagram from D100 Friedman ranks."
T02,per_run,"cec2017/{alg}/per_run.csv (endpoint error per run); fallback summary for function-level substitute: cec2017/{alg}/{alg}_cec2017_D{dim}.csv",yes,"vs-apgsk at D10/D30/D50: per-function run-level Wilcoxon+Holm disclosed-unavailable {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}; apgsk column carried by function-level Wilcoxon across per-function means (disposition ii); vs-apgsk D100 and all other comparators all dims: run-level as planned.","Main-text condensed W/T/L counts after Holm. Holm family = per comparator per dimension over 29 functions (pre-registered). Feeds wilcoxon_holm output family."
T03,per_run,"cec2017/{alg}/per_run.csv",yes,"vs-apgsk at D10/D30/D50: A12/Cliff's delta + BCa CIs disclosed-unavailable {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed} (run-level samples required; NO function-level substitute for effect sizes); explicit n/a cells + footnote; vs-apgsk D100 normal.","Condensed effect-size table [vargha2000critique; efron1993introduction]. Feeds effect_sizes + bca_ci output families."
F02-MAIN-D30,checkpoint_logs,"cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D30.csv (f from rule P5); selection strata from cec2017/{alg}/{alg}_cec2017_D30.csv",no,"n/a - apgsk gen_logs complete (116 files, all dims); checkpoint aggregation unaffected by the per_run gap.","P2 aggregation: per-checkpoint MEAN error across 51 runs, identical basis for all 7 curves. 4 panels picked by pre-registered rule P5 (strata computed from summary CSVs BEFORE any curve is rendered/viewed). Feeds convergence_checkpoints + curve_selection families."
F02-MAIN-D100,checkpoint_logs,"cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D100.csv (f from rule P5); selection strata from cec2017/{alg}/{alg}_cec2017_D100.csv",no,"n/a - apgsk gen_logs complete; checkpoint aggregation unaffected.","Same P2/P5 design at D100."
F03,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv",no,n/a - summary-level input.,"Rank-vs-dimension trend from per-dimension Friedman mean ranks (same numbers as T05; no independent recomputation)."
F05-RANKBAR,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv",no,n/a - summary-level input.,"Mean-rank bar chart; identical rank source as T05/F03; styling P3."
