suite,variant,dimension,row_type,algorithm,comparator,primary_value,primary_ordinal,variant_value,variant_ordinal,verdict,note
cec2013lsgo,mean_vs_median,native,rank,gsk,n/a,3.866667e+00,4,3.800000e+00,4,agree,median basis re-rank (mandatory for every rank statement)
cec2013lsgo,mean_vs_median,native,rank,agsk,n/a,3.133333e+00,1,3.133333e+00,1,agree,median basis re-rank (mandatory for every rank statement)
cec2013lsgo,mean_vs_median,native,rank,apgsk,n/a,4.933333e+00,6,4.933333e+00,6,agree,median basis re-rank (mandatory for every rank statement)
cec2013lsgo,mean_vs_median,native,rank,fdb-agsk,n/a,3.933333e+00,5,4.000000e+00,5,agree,median basis re-rank (mandatory for every rank statement)
cec2013lsgo,mean_vs_median,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.600000e+00,3,agree,median basis re-rank (mandatory for every rank statement)
cec2013lsgo,mean_vs_median,native,rank,egsk,n/a,5.466667e+00,7,5.400000e+00,7,agree,median basis re-rank (mandatory for every rank statement)
cec2013lsgo,mean_vs_median,native,rank,dt-gsk,n/a,3.133333e+00,1,3.133333e+00,1,agree,median basis re-rank (mandatory for every rank statement)
cec2013lsgo,mean_vs_median,native,wtl,dt-gsk,gsk,8-0-7,n/a,8-0-7,n/a,agree,W/T/L on the median basis
cec2013lsgo,mean_vs_median,native,wtl,dt-gsk,agsk,9-0-6,n/a,9-0-6,n/a,agree,W/T/L on the median basis
cec2013lsgo,mean_vs_median,native,wtl,dt-gsk,apgsk,11-0-4,n/a,11-0-4,n/a,agree,W/T/L on the median basis
cec2013lsgo,mean_vs_median,native,wtl,dt-gsk,fdb-agsk,11-0-4,n/a,11-0-4,n/a,agree,W/T/L on the median basis
cec2013lsgo,mean_vs_median,native,wtl,dt-gsk,atmals-gsk,8-0-7,n/a,8-0-7,n/a,agree,W/T/L on the median basis
cec2013lsgo,mean_vs_median,native,wtl,dt-gsk,egsk,11-0-4,n/a,11-0-4,n/a,agree,W/T/L on the median basis
cec2013lsgo,relative_tie_band,native,wtl,dt-gsk,gsk,8-0-7,n/a,8-0-7,n/a,agree,"relative band 1e-10*max(|a|,|b|,1) on the raw basis"
cec2013lsgo,relative_tie_band,native,wtl,dt-gsk,agsk,9-0-6,n/a,9-0-6,n/a,agree,"relative band 1e-10*max(|a|,|b|,1) on the raw basis"
cec2013lsgo,relative_tie_band,native,wtl,dt-gsk,apgsk,11-0-4,n/a,11-0-4,n/a,agree,"relative band 1e-10*max(|a|,|b|,1) on the raw basis"
cec2013lsgo,relative_tie_band,native,wtl,dt-gsk,fdb-agsk,11-0-4,n/a,11-0-4,n/a,agree,"relative band 1e-10*max(|a|,|b|,1) on the raw basis"
cec2013lsgo,relative_tie_band,native,wtl,dt-gsk,atmals-gsk,8-0-7,n/a,8-0-7,n/a,agree,"relative band 1e-10*max(|a|,|b|,1) on the raw basis"
cec2013lsgo,relative_tie_band,native,wtl,dt-gsk,egsk,11-0-4,n/a,11-0-4,n/a,agree,"relative band 1e-10*max(|a|,|b|,1) on the raw basis"
cec2013lsgo,loo_F1,native,rank,gsk,n/a,3.866667e+00,4,3.928571e+00,5,diverge,leave-one-function-out
cec2013lsgo,loo_F1,native,rank,agsk,n/a,3.133333e+00,1,3.214286e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F1,native,rank,apgsk,n/a,4.933333e+00,6,4.857143e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F1,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.857143e+00,4,diverge,leave-one-function-out
cec2013lsgo,loo_F1,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.714286e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F1,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F1,native,rank,dt-gsk,n/a,3.133333e+00,1,3.071429e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F2,native,rank,gsk,n/a,3.866667e+00,4,3.714286e+00,3,diverge,leave-one-function-out
cec2013lsgo,loo_F2,native,rank,agsk,n/a,3.133333e+00,1,3.071429e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F2,native,rank,apgsk,n/a,4.933333e+00,6,4.928571e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F2,native,rank,fdb-agsk,n/a,3.933333e+00,5,4.071429e+00,5,agree,leave-one-function-out
cec2013lsgo,loo_F2,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.714286e+00,3,agree,leave-one-function-out
