file,in_build,start_line,section,scientific_paragraph,claim_ids_anchored,bind_tokens,numbers_found,non_protocol_numbers,binding_status,excerpt
main.tex,yes,1,(preamble),no,,,,,NO_NUMBERS,"\documentclass[algorithms,article,submit,moreauthors,pdftex]{Definitions/mdpi}"
main.tex,yes,11,(preamble),no,,,,,NO_NUMBERS,\let\linenumbers\relax    \AtBeginDocument{\lhead{}}
main.tex,yes,26,(preamble),yes,,,1; 1; 5; 2026; 2026,,"ADMIN_PLACEHOLDER (AG-0002/front-matter, not scientific)",\firstpage{1} \makeatletter \setcounter{page}{\@firstpage} \makeatother \pubvolume{xx} \issuenum{1} \articlenumber{5} \p
main.tex,yes,38,(preamble),no,,,,,NO_NUMBERS,\usepackage{amssymb}    \usepackage{algorithm} \usepackage{algpseudocode}   \floatstyle{boxed} \restylefloat{algorithm} 
main.tex,yes,60,(preamble),yes,,,1; 1,,PROTOCOL_OR_STRUCTURAL,\newcommand{\dtgsk}{DT-GSK} \newcommand{\sgsm}{ISM} \newcommand{\atmals}{ATMALS-GSK} \newcommand{\agsk}{AGSK} \newcomman
main.tex,yes,77,(preamble),no,,,,,NO_NUMBERS,"\sisetup{   table-format=1.2e+2,   round-mode=places,   round-precision=2,   scientific-notation=true,   exponent-produc"
main.tex,yes,86,(preamble),yes,,,1.18; 0.94; 2,1.18; 0.94,UNBOUND_NUMBER,\renewcommand{\arraystretch}{1.18} \definecolor{zebragray}{gray}{0.94} \newcommand{\zebra}{\rowcolors{2}{zebragray}{whit
main.tex,yes,93,(preamble),no,,,,,NO_NUMBERS,\Title{DT-GSK: Dimension-Tiered Adaptive Configuration Selection and Deterministic Refinement for Gaining-Sharing Knowle
main.tex,yes,98,(preamble),yes,,,0009; 0000; 0000,0009; 0000; 0000,"ADMIN_PLACEHOLDER (AG-0002/front-matter, not scientific)",\newcommand{\orcidauthorA}{0009-0003-8415-2158} \newcommand{\orcidauthorB}{0000-0003-0387-5876} \newcommand{\orcidauthor
main.tex,yes,117,(preamble),yes,,,1; 1; 1,,PROTOCOL_OR_STRUCTURAL,"\Author{Mostafa Elsayed Masoud $^{1,}$*, Heba Sayed Mohamed Roshdy $^{1}$ and Ali Wagdy Mohamed $^{1}$}"
main.tex,yes,120,(preamble),no,,,,,NO_NUMBERS,"\AuthorNames{Mostafa Elsayed Masoud, Heba Sayed Mohamed Roshdy, Ali Wagdy Mohamed}"
main.tex,yes,123,(preamble),yes,,,1; 12613; 0009; 0000; 0000,12613; 0009; 0000; 0000,UNBOUND_NUMBER,"\address{ $^{1}$ \quad Operations Research Department, Faculty of Graduate Studies for Statistical Research, Cairo Unive"
main.tex,yes,139,(preamble),no,,,,,NO_NUMBERS,\corres{Correspondence: moustafa.masoud@gmail.com}
