req_id,requirement_area,requirement_text,source,source_access_date,evidence_class,manuscript_evidence,verdict,severity,ticket_id,notes
J-000,gate-status,"Stage 17 requires current OFFICIAL journal guidance; when unavailable the gate is BLOCKED (section 1.3) and the minimum unblocking evidence must be stated.",papers/PAPER_REVIEW_PROMPT.md L2670-2680,2026-07-22,REPO-PROVEN,"WebFetch of https://www.mdpi.com/journal/algorithms/instructions returned HTTP 403 Forbidden on 2026-07-22 (identical to the Phase-4 attempt on 2026-07-10). Browser route also unavailable (preview_start timed out 300s). papers/build_prompt_phases/phase_04/journal_requirements.md still records verified_online = FALSE with 4 blocking re-verification items; phase_11/journal_reverification_note.md carries the gap forward unclosed.",BLOCKED,Major,S17-16,"Every J-0xx row below marked SEARCH-DERIVED rests on official-page text returned through web search, not on direct retrieval. Minimum evidence to unblock: author opens the live Instructions-for-Authors page in a browser, records access date + the 6 items listed in phase_04 section 11, and flips verified_online to true."
J-001,article type,"Article (full original research); manuscript must not be previously published or under consideration elsewhere.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"papers/main.tex L9 \documentclass[algorithms,article,submit,moreauthors,pdftex]{Definitions/mdpi}; cover_letter.pdf p.1-2 states originality and non-concurrent submission and all-author approval.",PASS,-,-,"Wired article type matches."
J-002,abstract length,"Abstract about 200 words maximum, single paragraph, structured-abstract style without headings, no citations.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"Rendered DT-GSK.pdf p.1 abstract = 197 words (whitespace-normalised token count between 'Abstract:' and 'Keywords:'); single paragraph; no \cite in papers/main.tex abstract block.",PASS,-,-,"3-word headroom. Any further insertion breaches the limit."
J-003,keywords,"Three to ten pertinent keywords after the abstract.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"papers/main.tex \keyword{...}: 10 semicolon-separated terms; rendered identically on DT-GSK.pdf p.1.",PASS,-,-,"At the upper bound (10 of 10)."
J-004,manuscript structure,"Article structure: Abstract, Keywords, Introduction, Materials and Methods, Results, Discussion, Conclusions (Conclusions optional).",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"Rendered headings: 1 Introduction; 2 Related Work; 3 Proposed DT-GSK; 4 Experimental Study (4.7 Discussion); 5 Conclusions. No separately headed 'Materials and Methods' or 'Results'.",PASS-WITH-NOTE,Editorial,-,"Discipline-normal for an algorithms paper and covered by MDPI free-format initial submission; no ticket. Record only."
J-005,page / word length,"No journal-specific page cap found; MDPI general guidance is to contact the Editorial Office below ~3,000 or above ~12,000 words. Under framework section 1.5 / profile 10.14 the limit therefore binds to the project's self-imposed budget.",papers/build_prompt_phases/phase_04/page_budget.md sections 2 and 8,2026-07-22,REPO-PROVEN,"Binding caps: B1 <= 34 typeset pages (main text incl. exhibits, excl. references and back matter) and B2 <= 12,000 prose words (incl. abstract and captions, excl. references). MEASURED on the shipped DT-GSK.pdf (39 pp): back matter begins p.35 ('Supplementary Materials:'), references occupy pp.37-39, so B1 = 35 pp under the Phase-8 convention (pp.1-N with N shared with the back-matter start) and 36 pp under the Phase-11 arithmetic (total minus reference pages). B2 = 12,007 body-prose words + 197 abstract + ~1,164 caption words = ~13,368.",FAIL,Major,S17-01,"Both binding caps breached. Section 6 overflow valve not invoked; no page-count row exists in phase_gate_register.csv for this build (latest recorded is Phase 11: 35 pp total / B1 = 32)."
J-006,template,"Manuscripts prepared with the current MDPI Word or LaTeX template.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED + REPO-PROVEN,"papers/Definitions/mdpi.cls L23: \ProvidesClass{Definitions/mdpi}[08/17/2020 MDPI paper class] - six years old. Locally modified in commit 574e2deb4 (2026-07-12): submit-mode 'Submitted to <journal>' footer text and the submit-mode copyright/CC-BY block removed. papers/main.tex L15 \let\linenumbers\relax (suppresses the class's peer-review line numbering) and L19 \AtBeginDocument{\lhead{}} (removes the submit-mode running header).",FAIL,Moderate,S17-07,"Template currency was already flagged VERIFY-BEFORE-SUBMISSION at Phase 4 and is still unverified. Suppressing continuous line numbers removes the reference frame MDPI reviewers use."
J-007,reference style,"Citations as Arabic numerals in square brackets, ascending order of first appearance; MDPI (ACS-based) reference list.",https://www.mdpi.com/journal/algorithms/instructions + https://www.mdpi.com/authors/references,2026-07-22,SEARCH-DERIVED,"Rendered DT-GSK.pdf pp.37-39: numbered list, MDPI author format ('Awad, N.H.; Ali, M.Z.; ...'), 40 entries, 37 carrying DOIs; built with papers/Definitions/mdpi.bst. main.log: 0 undefined citations.",PASS,-,-,"3 entries without DOI are technical reports."
J-008,figures and tables,"Figures/tables placed near first citation with captions; minimum recommended figure resolution 600 dpi; common raster formats accepted.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"PDF: all main-text and supplement figures are vector (only 4 raster XObjects per PDF, all page-1 MDPI logos at 613 dpi) - no PDF resolution issue. DOCX: 7 rasterised figures at 219-527 effective dpi (main) and 27 at 235-384 dpi (supplement), measured from w:drawing wp:extent versus PNG pixel size.",PARTIAL,Minor,S17-10,"Word deliverable is below the recommended 600 dpi throughout; the PDF is not."
J-009,exhibit legibility,"Exhibits must be legible at final printed size (Stage 17 'legible final-size exhibits'; profile 10.14 forbids resolving overflow by shrinking figures below legibility).",papers/PAPER_REVIEW_PROMPT.md L2632 and L3428-3434,2026-07-22,REPO-PROVEN,"DT-GSK.pdf p.28 (Figure 4, Nemenyi CD panels): bar value labels at 4.2 pt, category/axis labels at 4.7-5.2 pt. Whole main PDF: 112 chars at 4.2 pt, 196 at 4.7 pt, 450 at 5.2 pt, 306 at 6.0 pt. The project's own note (papers/build_prompt_phases/phase_03/parameter_table_detail.tex L4) cites 'the journal's 8 pt table guidance'.",FAIL,Moderate,S17-09,"Occurs while the manuscript is simultaneously over its page cap (J-005), which is the exact combination profile 10.14 prohibits."
