ticket_id,severity,priority,triage_verdict,lifecycle_status,phase,requires_rerun,blocking,effort,concise_issue,verification_evidence,residual_work,post_revision_verification,closed_by_commit,closed_utc
C-001,Critical,P0,PARTIALLY-FIXED,closed_verified,P10,no,yes,medium,No single authoritative manuscript state can be identified.,"Both artifacts named in the ticket are superseded. Current papers/DT-GSK.pdf is 39 pages, sha256 12db88123016c68d... (neither 31887100... nor 4f9e9cf8...); papers/supplementary.pdf is 52 pages, sha256 7c94cea8b9300b78.... Builds are fresh relative to sources: PDF mtime 1784365194 > proposed_algorithm.tex/supplementary.tex mtime 1784365160 > main.tex 1784348591; cover_letter.pdf 1784346820 > cover_letter.tex 1784346781, and pdftotext of cover_letter.pdf shows the corrected (post-ablation-leak-removal) paragraph, so the cover letter PDF is in sync with its source. Gates are green on the current ","Land the remaining Critical corrections (C-006 equation, C-003 hooks), then: commit the tree to a single authoritative commit; assign a manuscript version identifier; rebuild main PDF/DOCX + supplement PDF/DOCX + cover letter from that commit; mint a fresh package manifest carrying SHA-256, page counts, build epochs, evidence-release ID (rel-2026-07-16-78f075cb0) and source commit for every submission file; quarantine or delete papers/DT-GSK_visio.docx. Sequence AFTER C-002..C-007 and immediately BEFORE C-008. -- STAGED 2026-07-21: coordinator prep COMPLETE - deliverables rebuilt deterministically (main 38pp, supplement 60pp, cover 2pp; PDFs double-build byte-identical); submission_package_manifest.json minted (per-file SHA-256, page counts, build epoch 1783468800, evidence-release rel-2026-07-20-67d9345f9); manuscript_version_id=v1.0; DT-GSK_visio.docx excluded (author to git rm); fresh freeze manifest 15/15; all gates green. REMAINING (author): the single authoritative git commit + push.","Verify source↔PDF↔DOCX text identity on all high-visibility claims; confirm exact page counts and hashes in a new release manifest; rerun all package validators. -- DONE 2026-07-21: authoritative single commit 383d7896be40 established - fresh 15-file freeze manifest (check_manifest 15/15), submission_package_manifest.json (per-file SHA-256, pages 38/60/2, build epoch 1783468800, version v1.0), DT-GSK/supplementary/cover PDFs deterministically rebuilt, DT-GSK_visio.docx removed; anchor_commit stamped; all gates green.",383d7896be4034d25e46bf24da51c31dca6476e1,2026-07-21
C-002,Critical,P0,ALREADY-FIXED,superseded_with_evidence,closed,no,no,trivial,The removed oracle/estimator-fidelity study has been reintroduced into the main conclusion.,"Case-insensitive grep for oracle|structure-controlled|basis selector|upper bound|headroom over papers/sections, papers/main.tex, papers/supplementary.tex, papers/cover_letter.tex, papers/cover_letter.md and papers/tables returns ZERO hits. Same grep over pdftotext output of papers/DT-GSK.pdf returns zero hits, and over pdftotext of papers/supplementary.pdf returns zero hits. papers/sections/conclusions.tex is 176 lines total (the ticket cited lines 165-177); I read lines 140-176 and the tail carries only the component-evidence paragraph (scaffold remove-one pointer + ISM null + controlled-nega",none,Grep all canonical sources and rendered artifacts for retired oracle terms and labels; confirm zero hits except historical governance records explicitly quarantined from the submission package.,,
C-003,Critical,P0,PARTIALLY-FIXED,closed_verified,P2,no,yes,small,"The release tree still contains the supposedly removed oracle evidence, laboratory code, and runtime hooks.","Adopted decision (e): hooks retained dormant, core NOT edited (hash-pinned). Unreachability PROVEN and locked by tests/regression/test_dormant_mechanisms_unreachable.py (7 tests): keyword-only + default None, absent from DTGSKConfig, absent from every profile, public adapter forwards no **kwargs, no runner/CLI reference. Published in mechanism_ledger.csv.","Either delete the two hooks and their three branch sites from _dt_core.py, or keep them dormant and add: (1) a negative-activation test asserting the public profile/adapter path cannot set research_oracle_blocks/research_oracle_basis and that dt_gsk_optimize rejects or ignores them under the pub profile; (2) an explicit entry in the dormant-mechanism inventory (and in the new algorithm freeze manifest from C-007) declaring them non-paper research code; (3) exclusion from the C-001 package manifest. No rerun: the hooks are provably unset on every paper run (adapter never passes them), so the fr",Clean-room install the paper release; grep for oracle identifiers; inspect configuration schemas; run a test that all oracle options are rejected; compare headline configuration hashes.,,2026-07-18
C-004,Critical,P0,ALREADY-FIXED,superseded_with_evidence,closed,no,no,trivial,"The conclusion calls ISM the algorithm’s ‘central primitive’, contradicting the evidence and the frozen C1–C3 contribution structure.","Grep for 'central primitive|principal contribution|central mechanism|primary contribution' over papers/sections, main.tex, supplementary.tex and both cover letters returns exactly one hit, and it is the CORRECTIVE sentence, not the defect. papers/sections/conclusions.tex now opens (lines 15-22): 'This paper introduced DT-GSK, a GSK-family algorithm that retains the gaining-sharing vector-update equations and layers an adaptive control-and-budget scaffold, a deterministic final polish, and a controlled family evaluation on that core, with an interaction-structure memory as a supporting mechanis","none required. Optional editorial nit only (non-blocking, does not violate the ticket's stated post-revision verification since no benefit is claimed): the abstract's second and third sentences still lead with the ISM graph as DT-GSK's defining action ('DT-GSK accumulates a confidence-gated coordinate-pair graph ... and, from D = 50 upward, feeds a block crossover and an eigenframe polish') before the scaffold gets a single trailing clause. An author may wish to rebalance the abstract opener toward C2/C1 for full title-abstract symmetry.","Run a title→abstract→introduction→method→results→conclusion→supplement framing sweep; confirm no sentence presents ISM as a principal contribution, performance driver, or improvement.",,
C-005,Critical,P0,ALREADY-FIXED,superseded_with_evidence,closed,no,no,trivial,A favorable final-polish ablation result is leaked into the main manuscript and cover letter despite the frozen supplement-only placement rule.,"Grep for 'establishes the value|demonstrated benefit|degrade(s) performance' across papers/sections, main.tex and both cover letters returns ZERO hits in main-text or cover-letter prose; the only surviving occurrences are papers/supplementary.tex:1505 and :1516, which is the governed S6.5 location the ticket explicitly permits. The word 'ablation' occurs 0 times in pdftotext of papers/DT-GSK.pdf (count verified with grep -c). The three cited leak sites are now null-framed or neutral: introduction.tex:93 (C1 bullet) reads 'The component isolation removes the ENTIRE compass endgame, so any effec",none,"Search for ‘establishes’, ‘demonstrated benefit’, ‘degrade performance’, and equivalent language; verify that favorable component results occur only in the governed supplement section.",,
C-006,Critical,P0,STILL-OPEN,closed_verified,P1,no,yes,medium,The printed ACE probability update is not the update executed by the frozen code.,Eq.(7) rewritten as the exact piecewise operator (full-pool S>0 / improved-subset S<0 / hold; double projection). Conformance test tests/regression/test_ace_equation_conformance.py: 74/74 pass against BOTH _ace_update_probs and the Numba kernel over all branches.,"Replace Eq. (7) in papers/build_prompt_phases/phase_03/equations.tex with the exact piecewise operator: sign convention on omega, the S<0 full-vector branch, the S>=0 improved-subset branch, the no-improvement project-and-hold, the floor projection, and the D>=20 top/bottom memory mixing. Fix the 'improving arms' normalized share' wording at proposed_algorithm.tex:291, fix the Table 2 / notation_table ACE entries, fix equation_registry.csv row E6, add a worked numerical example, and add a regression test that implements the revised equation independently and compares it to both _ace_update_pro",Implement a small reference function directly from the revised equation; compare output to both Python and Numba ACE paths over randomized and edge-case vectors; require exact or tolerance-defined equality.,,2026-07-18
C-007,Critical,P0,STILL-OPEN,closed_verified,P5,no,yes,medium,The algorithm freeze manifest is obsolete and cannot serve as the current method lock.,"Read papers/build_prompt_phases/phase_03/algorithm_freeze_manifest.json in full; every defect the ticket names is verbatim present in the current file. frozen_utc '2026-07-10'; anchor_commit '708a927bf525a74eaec41c7efc10820a4af6442b' (current reproducibility anchor is 78f075cb0); evidence_release 'rel-2026-07-10-262fc16c9' (current release is rel-2026-07-16-78f075cb0, cited in conclusions.tex:7 and bound throughout). method.long_name is 'Interaction-Structure Memory Gaining-Sharing Knowledge Optimization' - directly contradicts the retitled manuscript. method.profile_builder points to 'src/gsk","CLOSED. Minted algorithm_freeze_manifest_2026-07-19.json from the post-fix source: full SHA-256 for dt_gsk.py (51b12194...), _dt_core.py (dc2d59db...), _dt_profiles.py (7baadf22...), _dt_rng.py (8a0fc27d...) plus a Merkle digest over the 10 _dt_subsystems files (e2a86124...); corrected long_name and optimizer_id; primary_contribution stated as C1/C2/C3 with ISM explicitly a SUPPORTING mechanism; mechanism corrections recorded (tie-accepting greedy selection, diversity archive without fitness gate, ACE per the C-006 correction); dormant inventory covering the ISM subspace LS, the research_oracle hooks and the removed trust-region governor, each naming its gate; lock list extended to the six regression tests that now pin the core. The 2026-07-10 manifest is NOT overwritten -- it is the record of that freeze and is referenced by the supersession chain -- but now carries a SUPERSEDED marker naming its replacement and why. supplementary.tex updated: the old hashes remain labelled historical, and the current manifest is now named.","Line-ending style detected and preserved rather than assumed (this file is LF; the CRLF one is the separate main-manuscript manifest -- json.dump would have normalised either and broken every recorded hash). Both files re-parse as valid JSON after writing. The four hashes match those independently computed under M-031. Provenance gate exit 0, build-hygiene exit 0 after supplement rebuild.",,
C-008,Critical,P0,STILL-OPEN,closed_verified,P11,no,yes,medium,The manuscript freeze is materially broken and the pending-refreeze record is itself stale.,"STILL OPEN AND MEASURABLY WORSE THAN AT REVIEW TIME. Ran `python -X utf8 papers/scripts/check_manifest.py` in the current repo: output is '1/12 match' with 11 changed files - papers/main.tex, papers/sections/conclusions.tex, papers/sections/introduction.tex, papers/sections/performance.tex, papers/sections/proposed_algorithm.tex, papers/sections/related_work.tex, papers/DT-GSK.pdf, papers/DT-GSK.docx, papers/governance/claims_evidence_matrix.csv, papers/governance/citation_usage_map.csv, papers/governance/artifact_binding.csv. The review reported 4/12. The ticket's second limb is also confirme","This is the terminal ticket - it can only close after C-001 through C-007 all land. Then: mint a FRESH main_manuscript_freeze_manifest.json (do not patch incrementally) from the single authoritative commit selected in C-001, covering source .tex, main PDF, main DOCX, supplement PDF/DOCX, cover letter, claims_evidence_matrix.csv, citation_usage_map.csv, artifact_binding.csv, references.bib, evidence release ID, validator outputs and build environment; then require check_manifest.py to report 12/12; rebuild twice under normalized timestamps and compare normalized content; and delete or formally ","Require check_manifest.py 100% pass; rebuild twice under normalized timestamps; compare normalized content and bytes where promised; verify pending-refreeze file is absent or closed. -- DONE 2026-07-21: fresh main_manuscript_freeze_manifest.json minted (15 files incl. supplement PDF/DOCX + cover-letter PDF; 68 refreeze-history blocks retired); check_manifest.py 15/15 exit 0; DT-GSK.pdf/supplementary.pdf/cover_letter.pdf rebuilt deterministically (double-build byte-identical, content unchanged); _pending_refreeze.json formally CLOSED; all gates green.",,2026-07-21
E-001,Editorial,P2,STILL-OPEN,closed_verified,P9,no,no,large,"Many sentences carry four or more claims, caveats, parentheticals, and evidence qualifiers.","Ran a sentence-length report over papers/sections/*.tex (LaTeX stripped: comments, math, tabular/table/figure/algorithm/equation envs removed). 315 prose sentences: mean 38.2w, median 35w, p90 64w, p95 74w, max 152w; 84 sentences >50w, 21 >70w, 6 >90w. Longest offenders: proposed_algorithm.tex 152w and 104w; related_work.tex 103w x2; performance.tex 91w; introduction.tex 89w. No sentence-length report artifact exists anywhere in papers/. The multi-claim overloading the ticket describes is unchanged.","CLOSED, partially. Baseline was 31 sentences over 64 words; earlier tickets (E-004, E-010, E-016, E-009) removed several as a side effect, leaving 21. Split the four longest genuine prose sentences along their observation/interpretation/limitation seams: the related-work survey-scope sentence (100w), the APGSK evidence-gap disclosure (86w), the five-variant descendant chain in the introduction (86w), and conclusions limitation 7 (78w). Now 18. The residue is a mix of genuinely dense method sentences and artifacts of sentence splitting (section headings and the frozen tab:runtime caption register as one long 'sentence').","31 -> 18 sentences over 64w. No number, cite key or BIND anchor changed; build-hygiene exit 0 and 0 undefined references after rebuild.",,
E-002,Editorial,P2,STILL-OPEN,closed_verified,P9,no,no,small,"Terms such as ‘promoted’, ‘read-only release’, ‘strict-source guard’, ‘hash-frozen’, ‘BIND’, and ‘re-mint’ appear with a frequency more appropriate to internal governance than journal prose.","Internal governance vocabulary is still reader-facing, not confined to a reproducibility appendix. In pdftotext of papers/DT-GSK.pdf: 'hash-frozen' x8, 'promoted' x4, 'read-only' x3, 'strict-source' x1. Sources: 'promoted read-only evidence release' at introduction.tex:116, performance.tex:28, main.tex:230, conclusions.tex:173; 'hash-frozen' at conclusions.tex:29, introduction.tex:116, performance.tex:102, proposed_algorithm.tex:124 and :626, main.tex:191 and :238; 'strict-source guard' at performance.tex:32. These sit in the abstract-adjacent front matter, the intro contribution list and the ","CLOSED. 'promoted', 'read-only release' and 'strict-source guard' are names of this project's build machinery, not scholarly terms -- a reader outside the project cannot infer what they guarantee. Replaced at all 5 reader-facing main-text sites with language that states the property: 'a single versioned, immutable evidence release', 'analysis restricted so that it can read only that release', 'configuration fixed and verified by checksum'. The literal token names are retained in the supplement, where the machinery is actually described, so the repository mapping survives.","5 sites changed across main.tex, introduction.tex, conclusions.tex, performance.tex; build-hygiene exit 0, 0 undefined references.",,
