exhibit_id,artifact_path,exists,manuscript_location,generator_script,generator_command,empirical_inputs,input_status,source_class,classification,notes
T01,papers/tables/T01.tex,yes,supplement:sections/supplementary_content.tex:112,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T1.csv,MISSING (sole sanctioned producer = Phase 6 task 23 export from controlled analysis bundle; Section 7.13),rendered,regenerate,CEC2011 head-to-head GSK vs DT-GSK (Best/Median/Worst/Mean/SD); committed fragment currently unverifiable against an admissible bundle
T02,papers/tables/T02.tex,yes,supplement:sections/supplementary_content.tex:27,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T2.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2017 D10 head-to-head GSK vs DT-GSK
T03,papers/tables/T03.tex,yes,supplement:sections/supplementary_content.tex:34,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T3.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2017 D30 head-to-head
T04,papers/tables/T04.tex,yes,supplement:sections/supplementary_content.tex:41,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T4.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2017 D50 head-to-head
T05,papers/tables/T05.tex,yes,supplement:sections/supplementary_content.tex:48,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T5.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2017 D100 head-to-head
T06,papers/tables/T06.tex,yes,main:sections/performance.tex:366 AND supplement:sections/supplementary_content.tex:124,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T6.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2011 Wilcoxon summary; DUPLICATE inclusion in main and supplement (Section 8.1 redundancy rule) - Phase 7/8 must resolve placement
T07,papers/tables/T07.tex,yes,supplement:sections/supplementary_content.tex:208,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T7.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,GSK-family Mean+-SD comparison D10 (7 algorithms)
T08,papers/tables/T08.tex,yes,supplement:sections/supplementary_content.tex:215,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T8.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,GSK-family comparison D30
T09,papers/tables/T09.tex,yes,supplement:sections/supplementary_content.tex:222,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T9.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,GSK-family comparison D50
T10,papers/tables/T10.tex,yes,supplement:sections/supplementary_content.tex:229,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T10.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,GSK-family comparison D100
T11,papers/tables/T11.tex,yes,supplement:sections/supplementary_content.tex:261,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T11.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2013 D10 head-to-head (extended study)
T12,papers/tables/T12.tex,yes,supplement:sections/supplementary_content.tex:269,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T12.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2013 D30 head-to-head
T13,papers/tables/T13.tex,yes,supplement:sections/supplementary_content.tex:277,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T13.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2013 D50 head-to-head
T14,papers/tables/T14.tex,yes,supplement:sections/supplementary_content.tex:294,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T14.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,CEC2013 per-dim Wilcoxon summary
T15,papers/tables/T15.tex,yes,main:sections/performance.tex:407,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T15.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,Wilcoxon GSK-family per-dim summary (p / p_Holm / W-T-L / A12 / decision)
T16,papers/tables/T16.tex,yes,main:sections/performance.tex:425,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,results/paper_tables/T16.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,Friedman mean ranks GSK-family per-dim; ALSO consumed as a DATA SOURCE by generate_nemenyi_cd.py (rendered-artifact-as-source defect; see asset_map.md F-12.1; Phase 7 fixes)
T16_bca,papers/tables/T16_bca.tex,yes,main:sections/performance.tex:444,papers/scripts/generate_t16_bca.py,python papers/scripts/generate_t16_bca.py,benchmarks/cec_reference_results/<suite>/<alg> summaries via gsk_family.analysis.result_loader.load_algorithm (reference-first; results/_run_all fallback exists in loader),AVAILABLE but loader fallback must be disabled by Phase 2 task 10 strict-source guard before regeneration; BCa seed 20260422,derived+rendered,regenerate,95% BCa CIs on T16 mean ranks; regenerate only under strict reference-only mode with recorded release ID
T17,papers/tables/T17.tex,no,none,none,none,none,n/a,n/a,intentional-gap,INTENTIONAL numbering gap per Section 4.1 - do not create or renumber to close the gap
T18,papers/tables/T18.tex,no,none,none,none,none,n/a,n/a,intentional-gap,INTENTIONAL numbering gap per Section 4.1
T19,papers/tables/T19.tex,no,none,none,none,none,n/a,n/a,intentional-gap,INTENTIONAL numbering gap per Section 4.1
T20,papers/tables/T20.tex,no,none,none,none,none,n/a,n/a,intentional-gap,INTENTIONAL numbering gap per Section 4.1
T21,papers/tables/T21.tex,yes,supplement:sections/supplementary_content.tex:356,papers/scripts/generate_parametric_tables.py,python papers/scripts/generate_parametric_tables.py,results/paper_tables/T21.csv (parametric sweep n=3),MISSING; parametric sweep staging results/dt-gsk/sweeps/parametric-study/ ALSO absent; admissible only after promotion to benchmarks/cec_reference_results/parametric/<release_id>/ (Section 4.4),rendered,verify,Parametric pilot per-function means (DT-GSK-1..5 variants); mark unavailable + evidence_gap_register entry if no validated parametric release exists before Phase 7
