algorithm,algorithm_version,suite,suite_version,dimension,function_set,n_runs,pairing_design,seed_policy,seed_schedule_path,max_fes,stopping_rule,parameter_file,boundary_handling,evidence_release_id,raw_path,raw_checksum,source_type,environment_id,fp_sentinel,commit_sha,completeness,comparability_status,notes,function_set_hash
gsk,repo@31c5a04c4dc1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),10,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/gsk/seed_schedule.csv,100000,max_evaluations,benchmarks/cec_reference_results/cec2017/gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/gsk/gsk_cec2017_D10.csv,sha256:d81b4f1f6de5b250f3d68220c3e6317a97bd33ccd73a601e2a5c56c677e5f5aa,local-python-runner(per environment.json),sha256:54bbc2f21386,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,31c5a04c4dc15ffff0f644b1e744741fedf7d463,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
gsk,repo@31c5a04c4dc1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),30,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/gsk/seed_schedule.csv,300000,max_evaluations,benchmarks/cec_reference_results/cec2017/gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/gsk/gsk_cec2017_D30.csv,sha256:c66f315c0f63a3a6b3f8393905f5adcaa90de6f3189fdb62a8183e5943653040,local-python-runner(per environment.json),sha256:54bbc2f21386,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,31c5a04c4dc15ffff0f644b1e744741fedf7d463,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
gsk,repo@31c5a04c4dc1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),50,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/gsk/seed_schedule.csv,500000,max_evaluations,benchmarks/cec_reference_results/cec2017/gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/gsk/gsk_cec2017_D50.csv,sha256:cfcba7b742bc3b7576caeeeac227d706a81a43d7c5242efc05ed7f4fa47b9d46,local-python-runner(per environment.json),sha256:54bbc2f21386,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,31c5a04c4dc15ffff0f644b1e744741fedf7d463,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
gsk,repo@31c5a04c4dc1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),100,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/gsk/seed_schedule.csv,1000000,max_evaluations,benchmarks/cec_reference_results/cec2017/gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/gsk/gsk_cec2017_D100.csv,sha256:fd278bc56459543323a90818d451dfd87588bc80d635c6242fc446af1c53c232,local-python-runner(per environment.json),sha256:54bbc2f21386,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,31c5a04c4dc15ffff0f644b1e744741fedf7d463,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
agsk,repo@f94817cc4df2,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),10,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/agsk/seed_schedule.csv,100000,max_evaluations;target_error_reached,benchmarks/cec_reference_results/cec2017/agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/agsk/agsk_cec2017_D10.csv,sha256:e619d4ea62b96058e3baa912262dc625c7c866f5813755541bc12d4af2d8c553,local-python-runner(per environment.json),sha256:4cc0428400d3,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,f94817cc4df2b9a94a727b467fe0a877c3520ae5,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
agsk,repo@f94817cc4df2,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),30,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/agsk/seed_schedule.csv,300000,max_evaluations;target_error_reached,benchmarks/cec_reference_results/cec2017/agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/agsk/agsk_cec2017_D30.csv,sha256:85b1f88305df09d07221fdb33e587c3fbcb30edf1c0b5a51ab4fb04596778516,local-python-runner(per environment.json),sha256:4cc0428400d3,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,f94817cc4df2b9a94a727b467fe0a877c3520ae5,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
agsk,repo@f94817cc4df2,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),50,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/agsk/seed_schedule.csv,500000,max_evaluations;target_error_reached,benchmarks/cec_reference_results/cec2017/agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/agsk/agsk_cec2017_D50.csv,sha256:32436c1f27011b514436cb85e6078a3539c705649769abd67d91c03dd1f5346f,local-python-runner(per environment.json),sha256:4cc0428400d3,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,f94817cc4df2b9a94a727b467fe0a877c3520ae5,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
agsk,repo@f94817cc4df2,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),100,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/agsk/seed_schedule.csv,1000000,max_evaluations;target_error_reached,benchmarks/cec_reference_results/cec2017/agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/agsk/agsk_cec2017_D100.csv,sha256:99661fb331db0755314f425c01832787a57c205ce8850ba25937cd90120c7d7b,local-python-runner(per environment.json),sha256:4cc0428400d3,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,f94817cc4df2b9a94a727b467fe0a877c3520ae5,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
apgsk,repo@20cfed0acb5b,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),100,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/apgsk/seed_schedule.csv,1000000,max_evaluations,benchmarks/cec_reference_results/cec2017/apgsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/apgsk/apgsk_cec2017_D100.csv,sha256:8bfebbd7d301a4926c4207803e870f06c5c7782a4a23a84cca5504461e5ee7fa,local-python-runner(per environment.json),sha256:57fe9d7b626b,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,20cfed0acb5bb005cb563edfb60ae6c2168bc2cf,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
apgsk,unverifiable(metadata overwritten by later re-run),cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),10,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,0-per-run-rows(summary-only),"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unverifiable(seed_schedule.csv lacks this dim),benchmarks/cec_reference_results/cec2017/apgsk/seed_schedule.csv,unverifiable,unverifiable,benchmarks/cec_reference_results/cec2017/apgsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/apgsk/apgsk_cec2017_D10.csv,sha256:934e9ca983b35f34b79918019c788bfcaf1860fe749770469ba333ab497a7595,local-python-runner(inferred; cell metadata no longer covers this dim),sha256:57fe9d7b626b,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,20cfed0acb5bb005cb563edfb60ae6c2168bc2cf,per-run evidence RESTORED by CR-0006 (all four dimensions); seed_schedule and environment sidecars remain absent for these cells,comparable (function-level); per-run records recovered 2026-07-11 under CR-0006,"cell metadata files reflect a later partial re-run; per-run evidence for this dim absent at anchor commit | Updated 2026-08-01: the 'blocked-pending-recovery-or-new-release' status predated CR-0006, which restored the APGSK CEC2017 per-run evidence. The manuscript already discloses that the D in {10,30,50} APGSK rows rest on function-level tests because per-run records were missing at analysis freeze and recovered only afterwards.",ecf17d4fd0af2da6
