# Phase 5 task 16 - pre-registered analysis registry. Date: 2026-07-10. FROZEN BEFORE ANY OUTCOME INSPECTION.
# Authoritative method definitions: papers/build_prompt_phases/phase_05/statistical_analysis_plan.md (SAP) Sections 2-12; one row per pre-registered analysis.
# source_paths are relative to benchmarks/cec_reference_results/ (immutable release rel-2026-07-10-262fc16c9); {alg} ranges over the P1 panel
#   order gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk. Staging results/ and results/_ablation/ are NEVER admissible inputs.
# output_file paths are relative to papers/analysis/rel-2026-07-10-262fc16c9/; EVERY row additionally writes machine-readable rows keyed by
#   analysis_id to primary_stats/statistical_results.csv (PAPER_BUILD_PROMPT Section 7.14 schema; SAP Section 12).
# Output naming (Gate-5 normalization): strict_source_execution.md Sec.5 pattern <family>_<suite>[_D<dim>][_<qualifier>].csv is the single authority.
# Endpoint: error (CEC2017/CEC2013; suite floor error<1e-8 -> 0 per PR-05); best_fitness (CEC2011; error NaN by design, anomaly A2-017).
# Alpha = 0.05 per family; all Wilcoxon tests two-sided; tie rule |delta| < 1e-8; pairing via get_cec_seed(20240620, dim, func, run)
#   (verified in papers/governance/seed_and_pairing_audit.md Sections 1-4; function identity is the pairing key for across-function tests).
# APGSK CEC2017 GAP (binding; anomaly A2-004; source_resolution_map.csv dispositions i-iv): cec2017/apgsk/per_run.csv covers D100 ONLY;
#   run-level quantities vs apgsk at CEC2017 D10/D30/D50 are disclosed-unavailable, never imputed; function-level Wilcoxon on per-function
#   means (AN-PW-2017-D10/D30/D50) is the sole valid inferential basis vs apgsk at those dimensions.
# APGSK CEC2017 GAP -- RESOLVED CR-0006 (2026-07-11): cec2017/apgsk/per_run.csv restored to all 4 dims (5916 rows) by a validated
#   deterministic recovery of data lost to A2-004 (scripts/recover_apgsk_perrun.py; recovered rows reproduce the frozen summary CSVs
#   EXACTLY). The formerly disclosed-unavailable apgsk run-level cells at CEC2017 D10/D30/D50 (AN-DESC success/failure rates, AN-PWRUN,
#   AN-EFF A12/Cliff+BCa, AN-COST runtime, AN-EXP-BH) are now COMPUTED. This is a completeness correction under phase2_anomaly_register
#   A2-004 -> RESOLVED-CR-0006 and decision_log D-0011; a logged confirmatory amendment per SAP Section 13. Frozen SUMMARY CSVs, primary
#   Friedman ranks, and function-level Wilcoxon/Holm are UNCHANGED; the pre-registered function-level basis (AN-PW) remains valid and the
#   pre-registered summary-means robustness variant AN-ROB-2017-04 (disputed-cell exclusion) is deliberately kept fixed. No claim upgraded.
# AN-ABL-* rows are PHASE_12_ONLY: methods frozen now; inputs are a future promoted ablation release that does not exist yet (P6).
analysis_id,method,scope,input_resolution,source_paths,multiplicity_family,effect_interval,output_file,claim_ids,exhibit_ids
"AN-DESC-2017-D10","Five-statistic descriptives (best/median/mean/worst/SD) per (function,algorithm) + descriptive W/T/L vs each comparator on per-function mean errors; tie |delta|<1e-8; no test (SAP Sec.4); per-run-derived success/failure rates retained where per-run evidence exists (disclosed-unavailable for apgsk at this dimension, A2-004) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}","CEC2017 D10; 29 functions (F1,F3-F30); k=7; 51 runs","summary_per_function","cec2017/{alg}/{alg}_cec2017_D10.csv","none (descriptive; no test)","none","cec2017/descriptive_stats_cec2017_D10.csv + primary_stats/statistical_results.csv","RS-08","T01-SUM;T01-D10"
"AN-DESC-2017-D30","Same as AN-DESC-2017-D10 at D30 (SAP Sec.4); apgsk per-run-derived quantities disclosed-unavailable (A2-004) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}","CEC2017 D30; 29 functions; k=7; 51 runs","summary_per_function","cec2017/{alg}/{alg}_cec2017_D30.csv","none (descriptive; no test)","none","cec2017/descriptive_stats_cec2017_D30.csv + primary_stats/statistical_results.csv","RS-08","T01-SUM;T01-D30"
"AN-DESC-2017-D50","Same as AN-DESC-2017-D10 at D50 (SAP Sec.4); apgsk per-run-derived quantities disclosed-unavailable (A2-004) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}","CEC2017 D50; 29 functions; k=7; 51 runs","summary_per_function","cec2017/{alg}/{alg}_cec2017_D50.csv","none (descriptive; no test)","none","cec2017/descriptive_stats_cec2017_D50.csv + primary_stats/statistical_results.csv","RS-08","T01-SUM;T01-D50"
"AN-DESC-2017-D100","Same as AN-DESC-2017-D10 at D100 (SAP Sec.4); apgsk per_run complete at D100 - success/failure rates computed normally","CEC2017 D100; 29 functions; k=7; 51 runs","summary_per_function","cec2017/{alg}/{alg}_cec2017_D100.csv","none (descriptive; no test)","none","cec2017/descriptive_stats_cec2017_D100.csv + primary_stats/statistical_results.csv","RS-08","T01-SUM;T01-D100"
"AN-OMNI-2017-D10","Friedman test over 29 per-function mean errors, k=7 [friedman1937use] + Iman-Davenport F correction (omnibus decision criterion, alpha=0.05); Nemenyi CD diagram [demsar2006statistical] rendered ONLY if omnibus significant, else disclosed omission (SAP Sec.5)","CEC2017 D10; 29 functions; k=7; function-level aggregation only","summary_per_function","cec2017/{alg}/{alg}_cec2017_D10.csv","single omnibus per (cec2017,D10) family; alpha=0.05; Nemenyi CD conditional on significance","Friedman mean ranks per algorithm (point values; no CI at omnibus level)","cec2017/friedman_ranks_cec2017_D10.csv (+ cec2017/nemenyi_cd_cec2017_D10.csv conditional) + primary_stats/statistical_results.csv","RS-01;RS-02;RS-06;IN-01;CN-01","T05;F01-D10;F05-RANKBAR"
"AN-OMNI-2017-D30","Same machinery as AN-OMNI-2017-D10 at D30 (SAP Sec.5); outcome cross-referenced to limitation LM-01 wording constraints","CEC2017 D30; 29 functions; k=7","summary_per_function","cec2017/{alg}/{alg}_cec2017_D30.csv","single omnibus per (cec2017,D30) family; alpha=0.05; Nemenyi CD conditional","Friedman mean ranks (point values)","cec2017/friedman_ranks_cec2017_D30.csv (+ cec2017/nemenyi_cd_cec2017_D30.csv conditional) + primary_stats/statistical_results.csv","RS-01;RS-03;RS-06;LM-01;CN-01","T05;F01-D30;F05-RANKBAR"
"AN-OMNI-2017-D50","Same machinery as AN-OMNI-2017-D10 at D50 (SAP Sec.5)","CEC2017 D50; 29 functions; k=7","summary_per_function","cec2017/{alg}/{alg}_cec2017_D50.csv","single omnibus per (cec2017,D50) family; alpha=0.05; Nemenyi CD conditional","Friedman mean ranks (point values)","cec2017/friedman_ranks_cec2017_D50.csv (+ cec2017/nemenyi_cd_cec2017_D50.csv conditional) + primary_stats/statistical_results.csv","RS-01;RS-04;RS-06;IN-02;CN-01","T05;F01-D50;F05-RANKBAR"
"AN-OMNI-2017-D100","Same machinery as AN-OMNI-2017-D10 at D100 (SAP Sec.5)","CEC2017 D100; 29 functions; k=7","summary_per_function","cec2017/{alg}/{alg}_cec2017_D100.csv","single omnibus per (cec2017,D100) family; alpha=0.05; Nemenyi CD conditional","Friedman mean ranks (point values)","cec2017/friedman_ranks_cec2017_D100.csv (+ cec2017/nemenyi_cd_cec2017_D100.csv conditional) + primary_stats/statistical_results.csv","RS-01;RS-05;RS-06;IN-01;IN-02;CN-01","T05;F01-D100;F05-RANKBAR"
"AN-RANKAGG-2017-OVERALL","Unweighted arithmetic mean of the 4 per-dimension Friedman mean ranks from AN-OMNI-2017-D10/D30/D50/D100; purely descriptive aggregation labeled 'no test attached' in the table note; NO cross-dimension omnibus ever (SAP Sec.5)","CEC2017 overall row; 4 dimensions; k=7","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv (via AN-OMNI-2017-* ranks; no independent recomputation)","none (descriptive aggregation; no test)","none","cec2017/friedman_ranks_cec2017_overall.csv + primary_stats/statistical_results.csv","RS-01;CN-01;HL-01;CL-02","T05"
"AN-PW-2017-D10","Wilcoxon signed-rank across 29 functions on per-function mean errors, DT-GSK vs each of 6 comparators; two-sided; zero_method='wilcox'; tie |d|<1e-8; pairing key = function identity (SAP Sec.6a); SOLE VALID inferential basis vs apgsk at this dimension (disposition ii, A2-004)","CEC2017 D10; n=29 paired functions; 6 comparators","summary_per_function","cec2017/{alg}/{alg}_cec2017_D10.csv","Holm m=6 within (cec2017,D10) [holm1979simple]; alpha=0.05 family-wise","direction from signed statistic; vs apgsk at this dimension: matched-pairs rank-biserial correlation computed from this across-function Wilcoxon on per-function means (SAP Sec.7; CR-0003/Section 7.7) with uncertainty interval DISCLOSED-UNAVAILABLE (never imputed) {CR-0006 2026-07-11: run-level A12/Cliff + BCa vs apgsk now available via AN-EFF-2017-D10/D30/D50; the function-level rank-biserial basis is unchanged}; other comparators: effect sizes/CIs carried by AN-EFF-2017-D10 (attachment rule SAP Sec.7)","cec2017/wilcoxon_holm_cec2017_D10.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D10"
