requirement_id,line_no,summary,phase,artifact,validation,owner
R-21,21,"Act as a coordinated multidisciplinary research team with expert competence in continuous optimization, metaheuristics, evolutionary comp...",cross,working-notes role passes (Sec 11),Section 15 validators + every phase gate,P1
R-28,28,"Your objective is to autonomously produce a scientifically defensible, publication-ready DT-GSK article and its complete publication pac...",cross,complete publication package,Section 15 validators + every phase gate,P1
R-36,36,"The target is Q1-level rigor and presentation, not an unsupported guarantee of acceptance and not an unverified claim about a journal's c...",cross,claims_evidence_matrix.csv wording bounds,Section 15 validators + every phase gate,P1
R-43,43,"The terms MUST, MUST NOT, SHALL, SHALL NOT, REQUIRED, SHOULD, SHOULD NOT, and MAY are normative:",cross,framework gate semantics,Section 15 validators + every phase gate,P1
R-53,53,"This file is the only project-wide implementation guide. Earlier prompts, phase companions, addenda, notes, draft prose, and remembered p...",0,instruction_precedence.md,Phase 0 validation (governance parse + traceability completeness) and Gate 0,P1
R-57,57,Use the following precedence hierarchy:,0,instruction_precedence.md,Phase 0 validation (governance parse + traceability completeness) and Gate 0,P1
R-68,68,"A conflict between this framework and immutable evidence metadata is not solved by silently choosing one. Record the conflict, stop the a...",cross,decision_log.md + change_request_register.csv,Section 15 validators + every phase gate,P9
R-75,75,"Supersedes earlier instructions (staging fallback, main-text/early ablation, post-ablation phases, detector evasion, cite-all rule)",0,instruction_precedence.md,Phase 0 validation (governance parse + traceability completeness) and Gate 0,P1
R-77,77,results/_run_all/ is not a publication-evidence fallback. It is a staging or independent-reproduction area only.,cross,strict-source guard (Sec 2.3),Section 15 validators + every phase gate,P4
R-79,79,"All publishable empirical analyses, tables, plots, comparisons, discussions, conclusions, and numerical claims MUST read exclusively from...",cross,analysis loaders + source-use audit,Section 15 validators + every phase gate,P4
R-82,82,The ablation study MUST NOT appear in the main manuscript.,8,main-manuscript ablation scan,Phase 8 draft gate + claim/citation audit (Gate 8),P9
R-83,83,"The ablation study MUST be executed only in the final implementation phase, after algorithm freeze, primary benchmarking, primary statist...",12,Phase 12 entry gate,Phase 12 final gate + final_integrity_audit.md (Gate 12),P1
R-87,87,"No phase after the final ablation phase is permitted. Supplementary integration, final reproducibility verification, and submission packa...",12,phase_gate_register.csv (Phase 12 final),Phase 12 final gate + final_integrity_audit.md (Gate 12),P1
R-90,90,"Wording intended to evade AI-text detectors is prohibited. The writing goal is genuine academic clarity, specificity, and integrity.",8,manuscript prose style,Phase 8 draft gate + claim/citation audit (Gate 8),P6
R-92,92,A requirement to cite all bibliography entries never overrides semantic correctness. Decorative citations and \\nocite{*} are prohibited.,8,citation_usage_map.csv semantic review,Phase 8 draft gate + claim/citation audit (Gate 8),P9
R-97,97,No claim may outrun its evidence.,cross,claims_evidence_matrix.csv,Section 15 validators + every phase gate,P9
R-99,99,"When evidence is absent, incomplete, non-comparable, contradictory, or outside the permitted sources, the agent MUST do one of the follow...",cross,evidence_gap_register.md dispositions,Section 15 validators + every phase gate,P9
