phase_id,phase_name,state,entry_evidence,validation_evidence,acceptance_evidence,exit_evidence,gate_approvers,timestamp,notes
0,"Governance preflight, repository state, and authority freeze",FROZEN,"Bootstrap exemption per Section 12.1: register created by Phase 0's first actions and entry evidence backfilled — master framework available at papers/PAPER_BUILD_PROMPT.md (anchor commit 262fc16c91fbe5608a1a0b0c5df3cbcd009edc21); repository access verified (git fingerprint commands, verbatim in reproducibility_manifest.json); non-destructive inspection commands executed successfully","All 13 governance files parse (csv/json/nonempty-md, gate run 2026-07-10); source_line_traceability.csv 5880 rows == 5880 nonblank master lines, 0 duplicate/missing/extra line_no, 0 invalid classifications, 0 unmapped/partial/unknown; requirements_traceability_matrix.csv 2105 rows, 0 duplicate IDs, 0 unmapped rows, 0 dangling/orphan refs; all path checks explicit present/missing status (preflight_inventory.csv 54 rows, project_configuration.md Section 7); anchor 262fc16c91fbe5608a1a0b0c5df3cbcd009edc21 identical across all artifacts recording a commit; no scientific source change (gate git status SHA-256 14f3198460741a615804879bba7f91178e883ecebb1019f082615d66ab6dc224 byte-identical to preflight verification snapshot)",All 8 Phase 0 acceptance criteria PASS — walk with per-criterion evidence in PHASE_0_readiness.md Section 5,Gate 0 APPROVED: P1 + P5 + P9 signed (P10 advisory approval); signed assessments in PHASE_0_readiness.md Section 7; reopening requires change_request_register.csv row per Section 12.2,P1;P5;P9,2026-07-10,"FROZEN 2026-07-10. Phase 0 exempt from prior-entry-evidence rule (Section 12.1 bootstrap); dirty paths at snapshot are staging-only (live ablation campaign, non-blocking per decision D-0002); condensed traceability schemas accepted per decision D-0005"
1,Closed literature-corpus audit and evidence-card construction,FROZEN,Phase 0 FROZEN; reference_papers/ (57 PDFs) + papers/references.bib (57 entries) located and readable; anchor 262fc16c91fbe5608a1a0b0c5df3cbcd009edc21 (HEAD == anchor verified at gate time),"Gate run 2026-07-10: all Phase 1 CSVs schema-valid (reference_inventory.csv == 19-col Section 3.3 schema; role map 9 cols/56 rows; word tag map 57 rows with unique valid tags); every BibTeX key counted exactly once (57/57); Appendix A == bib keys exactly; 56 admissible keys each with one readable source + one complete evidence card (Section 3.4 elements + locators, scripted check); P9 stratified sample 8 keys / 12 locators — 12/12 resolve on the stated pages (pypdf re-open); URL-contamination scan clean (2 doi.org identity-quote mentions; 1 in-paper printed code link verified in apgsk2021.pdf p.65944); checksums: 10-file sample + full 57-file SHA-256 re-hash all match",All 7 Phase 1 acceptance criteria PASS — per-criterion walk with evidence in PHASE_1_gate_report.md Section 5,"Gate 1 APPROVED: P2 + P3 + P4 + P9 signed (PHASE_1_gate_report.md Sections 4 and 7); hard-failure check clean — sole unverified key awad2016problem excluded from runtime set, role map, and Word source generation (BLOCKED row) with stub card + EG-001; reopening requires change_request_register.csv row per Section 12.2",P2;P3;P4;P9,2026-07-10,"FROZEN 2026-07-10. Admissible runtime set = 56 of 57 at freeze; RAISED to 57 of 57 on 2026-07-10 via CR-0005 (correct bound-constrained awad2016problem report supplied + content-verified, EG-001 CLOSED) — was blocked because the local PDF WAS the WRONG DOCUMENT (CEC2017 constrained report); 13 evidence gaps seeded (EG-001..EG-013); bib metadata fixes queued for change control; approver list corrected from seed P1;P2;P5 to the master Review-gate signatories; CR-0001/0002 traceability re-patch verified DONE (5985 rows, max line_no 7585, RTM 2126 ids); CR-0003 re-patch CLEARED 2026-07-10 at Gate 2 (traceability 6146 rows == 6146 nonblank master lines, max line_no 7759 == total, RTM 2153 rows) — was OUTSTANDING backbone debt per PHASE_1_gate_report.md Section 6"
2,"Immutable empirical evidence, benchmark, and provenance audit",FROZEN,Phase 0 + Phase 1 FROZEN; sole evidence source benchmarks/cec_reference_results present + readable; anchor 262fc16c91fbe5608a1a0b0c5df3cbcd009edc21 (HEAD verified == anchor at manifest time); release rel-2026-07-10-262fc16c9 selected and bound to papers/analysis/rel-2026-07-10-262fc16c9/,"Gate re-verified 2026-07-10: reference-tree walk 3409 files == evidence_release_manifest.json totals.files (3409) == sha256 entry count (3409), file-class counts sum to 3409 (712038425 bytes); evidence-tree git status empty at hash time; data_ledger.csv 174 dataset rows (n_runs/pairing_design/function_set/versions); anomaly register + benchmark_protocol/comparability/seed-pairing/fp-environment audits present and resolved; strict-source guard 15/15 tests, blocks staging, default-off preserves legacy; engineering gate pytest 339 passed + ruff clean (5 F401 removed in audit_evidence/); traceability re-confirmed consistent with master (source_line_traceability 6146 rows == 6146 nonblank lines, max line_no 7759 == total, unique; RTM 2153 rows) — CR-0003 backbone re-patch DONE",All Phase 2 acceptance criteria PASS — per-criterion walk with evidence in PHASE_2_gate_report.md Sections 3-6,"Gate 2 APPROVED: P3 + P4 + P5 + P9 signed (PHASE_2_gate_report.md Section 7); hard-failure checks clean (no source outside cec_reference_results, no unexplained run mismatch, valid budget, no comparability defect); sole anomaly (apgsk cec2017 D100-only auxiliary provenance, group H1) disclosed + dispositioned NON-BLOCKING with a binding D100 qualification, no silent repair; reopening requires change_request_register.csv row per Section 12.2",P3;P4;P5;P9,2026-07-10,FROZEN 2026-07-10. Binds release rel-2026-07-10-262fc16c9; SHA-256 ledger over the 3409-file reference tree frozen; evaluator versions/hashes frozen; results/ stays staging-only until Phase 12 controlled promotion. Approver list corrected from seed P2;P5;P9 to master Gate 2 signatories P3;P4;P5;P9. Phase 3 entry criterion (Phases 0-2 frozen) now satisfied
3,"Method reconstruction, code correspondence, and algorithm freeze",FROZEN,Phases 0-2 FROZEN; ISM core sources + pub profile builder + tests available at anchor 708a927bf525a74eaec41c7efc10820a4af6442b; evidence release rel-2026-07-10-262fc16c9 bound,"Reconstruction verified 2026-07-10: 16 mechanisms traced to executing code (no prose-only mechanism); GSK junior/senior kernels + main-loop order confirmed against dt_gsk_optimize:1974 and byte-locked spec; evaluation accounting proven (single BudgetController cap, all calls charged, budget-safe truncation) and live-verified by a real fixed-seed deterministic trace (cec2017 F1 D10 3000 NFE: nfes_used==3000==MaxFES, best-so-far monotone, repeat-identical, self-init note); complexity O(D^2) SGSM refresh + one-shot O(D^3) eigen-polish substantiated from D x D structures and amortised; engineering gate green at anchor (pytest 339, ruff clean)",All Phase 3 acceptance criteria PASS - competent reader can reimplement the frozen core; code/config/equations/pseudocode/trace agree; all objective calls accounted; complexity derived+scoped; contribution boundaries evidence-based; algorithm+parameters frozen (PHASE_3_gate_report.md Sections 2-3),Gate 3 APPROVED: P2 + P4 + P5 + P9 signed (phase_03/PHASE_3_gate_report.md Section 5); algorithm_freeze_manifest.json records core source SHA-256 + change-control rule; residual .tex/.omml renderings routed to Phase 7/9 (canonical .md sources frozen) and high-D dynamic traces to Phase 6 - neither can alter the frozen definition; reopening requires change_request_register.csv row per Section 12.2,P2;P4;P5;P9,2026-07-10,"FROZEN 2026-07-10. Algorithm + pub parameters hash-frozen (dt_gsk.py a274e0f8, _dt_core.py 1ef815ce, _dt_profiles.py c3dcdce3, _dt_rng.py db1cc028, subsystems merkle e532fc44); profile-lock (validate_profile_lock.py) + byte-stability KAT + profile oracle enforce byte-identity. Approvers corrected from seed P1;P3;P5 to master Gate 3 quorum P2;P4;P5;P9. Phase 4 entry unblocked; inherits contribution_matrix.md novelty statement as claim source"
4,"Thesis, contributions, journal, claims, and manuscript-plan freeze",FROZEN,Phases 0-3 FROZEN; contribution matrix + freeze manifest + evidence cards + data ledger available; release rel-2026-07-10-262fc16c9 bound; user journal instruction received 2026-07-10,"Executed 2026-07-10 via 11-agent workflow + inline reconciliation: journal MDPI Algorithms frozen (D-0010; verified_online=false disclosed, re-verify before submission; R-0004 cover-letter conflict DEFERRED to Phase 9/11 per user instruction); thesis evidence-bounded (no unverified numbers; ranks carry Phase-6 re-derivation mark); 4 contributions C1-C4 accepted with non-elevation rationale; claims_evidence_matrix.csv 50 rows RFC-4180 valid, citations subset of 57 admissible keys; outline 5-section spine + S1-S6 (S6 ablation RESERVED Phase-12); page budget 31.9pp projected vs 34 hard cap (sums script-verified); exhibit_plan.csv 71 rows (40 main/28 supp/3 Phase-12) with pre-registrations P1-P8 incl. CR-0001 mean-across-runs aggregation + P5 curve-selection rule; terminology + presentation conventions (22 dims x 3 exemplars) FROZEN; adversarial QA 0 critical/3 major/2 minor - all 5 resolved and re-verified by script","All Phase 4 acceptance criteria PASS (PHASE_4_gate_report.md Sections 1-3): target recorded, thesis/contributions evidence-bounded, every claim matrixed, high-risk claims mitigated, outline+exhibits fit budget, ablation supplement-only Phase-12-only, terminology frozen","Gate 4 APPROVED: P1 + P6 + P9 + P10 signed (phase_04/PHASE_4_gate_report.md Section 4); hard-failure checks clean (no unsupported novelty, no unbounded superiority, journal-verification gap DISCLOSED not silent, no main-text ablation); reopening requires change_request_register.csv row per Section 12.2",P1;P6;P9;P10,2026-07-10,"FROZEN 2026-07-10. Later empirical results may narrow claims, never silently expand them. Approvers corrected from seed P1;P4;P10 to master Gate 4 quorum P1;P6;P9;P10. R-0004 remains open (deferred, owner Phase 9/11). Phase 5 entry unblocked"
5,"Statistical-analysis, protocol, and exhibit-design freeze",FROZEN,Phases 0-4 FROZEN; claims_evidence_matrix.csv (50 rows) + data_ledger + comparability_audit + algorithm_freeze_manifest + exhibit_plan P1-P8 pre-registrations available; release rel-2026-07-10-262fc16c9 schemas inspected read-only (no outcome computed),"Executed 2026-07-10 via 7-agent workflow + resumed fix agent: SAP with 59 pre-registered analysis families (analysis_registry.csv); apgsk CEC2017 D10/30/50 per-run gap pre-dispositioned (function-level Wilcoxon + matched-pairs rank-biserial + disclosed-unavailable CI); overall ranks descriptive-only (no cross-dimension pooling); BCa B=10000 single entropy-list seeding; deterministic outcome-blind curve-selection algorithm (58-row audit, 8 main picks); Holm families enumerated, BH exploratory-only; strict-source execution design (GSK_STRICT_SOURCE=1, closed 13-family naming vocabulary, outputs papers/analysis/<release>/); robustness R1-R7+crosswalk; cost plan comparability-qualified; ablation pre-registered PHASE_12_ONLY (7 scaffold + 4 overlay cells incl. no_finalpolish) with staging quarantine; claims matrix extended in place with analysis_ids column (byte-preserving, verified); adversarial QA 1 critical/6 major/2 minor - ALL resolved and re-verified (registry 59x10 clean, claims 50x10 clean, stale-name grep 0)",All Phase 5 acceptance criteria PASS (PHASE_5_gate_report.md Sections 1-3): RQs+endpoints frozen; units/pairing/tests/corrections/effects/intervals valid; every exhibit+claim analysis-bound (orphan-clean both directions); robustness+cost complete; source guard + deterministic outputs specified; ablation fully pre-registered untouched,"Gate 5 APPROVED: P3 + P4 + P5 + P9 signed (phase_05/PHASE_5_gate_report.md Section 4); hard-failure checks clean (no invalid pairing, no undefined multiplicity, no unbound claim, no forbidden source, no early ablation access); reopening requires change_request_register.csv row per Section 12.2",P3;P4;P5;P9,2026-07-10,FROZEN 2026-07-10. Phase 6 MUST execute exactly this plan; later changes = logged confirmatory amendment or exploratory deviation. Approvers corrected from seed P5;P6 to master Gate 5 quorum P3;P4;P5;P9. Phase 6 entry unblocked
6,Primary evidence computation and statistical validation,FROZEN,Phases 0-5 FROZEN; strict-source guard tests passing; release rel-2026-07-10-262fc16c9 immutable (3409-file SHA-256 manifest); SAP + registry + schemas frozen; algorithm unchanged (freeze hashes re-verified in environment_record.json),"Executed 2026-07-11 via 5-agent workflow: deterministic driver papers/scripts/phase6_run_analysis.py computed all 56 non-ablation registry families -> 115-file bundle under papers/analysis/rel-2026-07-10-262fc16c9/ + primary_stats/statistical_results.csv (4987 rows, Section 7.14 schema) + T1-T16 staging exports; 1239 audited opens 100% under the release, 3 StrictSourceViolation negative tests PASS, zero ablation reads; determinism PASS (108/108 machine-readable outputs byte-identical on re-run, 5 timestamp-only); cross-implementation check 14/14 agree (scipy + direct formulas); outcome-blind curve selection verified by independent recompute (58 rows, 8 picks, 0 mismatches); robustness battery run (r01 mean-vs-median + r04 disputed-cell DIVERGE - disclosed, ISM ordinals stable); ranks re-derived CONFIRM all six standing claims (CEC2017 overall #1 2.483, D10 #1, D30 #2 behind eGSK 2.500-vs-2.293, D50 #1, D100 #1, CEC2011 #2, CEC2013 overall #1 per-dim 1st/3rd/1st); claims matrix adjudicated 16 ACCEPTED + 2 NARROWED + 0 BLOCKED, 0 PENDING remain; orphan checks clean; negative findings fully disclosed (10 items incl. CEC2011 Holm-significant loss to eGSK)","All Phase 6 acceptance criteria PASS (PHASE_6_gate_report.md Sections 1-8): reference-only inputs proven, deterministic + checksummed, every headline claim has planned statistics/effect/interval, one authoritative source per exhibit, robustness disclosed, claims reflect evidence, no orphan/fabricated number","Gate 6 APPROVED: P3 + P4 + P5 + P9 signed (phase_06/PHASE_6_gate_report.md Section 10); adversarial QA PASS 0 critical/0 major/3 minor (all fixed or recorded); hard-failure sweep clean (sources, cross-check, pairing, orphans, determinism, hidden-unfavorable, curve blindness, ablation contamination); reopening requires change_request_register.csv row per Section 12.2",P3;P4;P5;P9,2026-07-11,FROZEN 2026-07-11. Carry-forward: legacy papers/tables/*.tex STALE - Phase 7 must regenerate from results/paper_tables/; convergence generators still require the CR-0001 seven-curve extension before Phase 7 rendering. Phase 7 entry unblocked
7,"Primary tables, figures, equations, and method-artifact production",FROZEN,Phases 0-6 FROZEN; Phase 6 bundle + results/paper_tables staging exports present with provenance; claims/exhibit plans updated to actual evidence; algorithm frozen,"Executed 2026-07-11 via 5-agent workflow: CR-0001 seven-curve family-overlay extension completed (new _convergence_common.py + 3 generators rewritten; 21 grids / 174 panels, every panel 7/7 series, zero absences, P1/P2/P3/P5 pre-registrations enforced, frozen curve selection hard-required); 17 LaTeX tables regenerated from staging (stale legacy replaced; T14 LaTeX defect fixed); generate_nemenyi_cd.py rewired to unrounded bundle ranks (T16.tex parsing removed, CD=1.673 cross-checked); generate_t16_bca.py + generate_rank_charts.py bundle-wired; --skip-ablation flag added + assertion passed (zero ablation artifacts); 5 conceptual figures per approved specs + method .tex artifacts (notation/pseudocode/parameters/equations); 17 Word-native semantic table JSONs + .drawio source + DrawingML plan; artifact_binding.csv 55 rows with full SHA-256 chains; value-level validation 4349 comparisons zero unexplained mismatches; automated figure QA 135 checks 0 findings over 34 figures; 16-figure visual inspection pass; 28-entry captions registry with mandated limitation notes; T21/T22 + trace figures dispositioned to EG-006/EG-005","All Phase 7 acceptance criteria PASS (PHASE_7_gate_report.md Sections 1-4): every exhibit regenerates from named authoritative inputs, every value validated, captions self-contained and scoped, method artifacts agree with frozen canon, main/supplement split per plan, Word-native sources exist, no ablation","Gate 7 APPROVED: P2 + P3 + P5 + P7 + P8 signed (phase_07/PHASE_7_gate_report.md Section 6); adversarial QA PASS with 2 major + 3 minor ALL FIXED during QA (PDF timestamps stripped, T14 p_holm fix, Word-source terminology notes, count typo, subfigure-label hand-off recorded); reopening requires change_request_register.csv row per Section 12.2",P2;P3;P5;P7;P8,2026-07-11,FROZEN 2026-07-11. Carry-forward to Phase 8/9: supplement sub-grid labels need subfigure/suffixed labels; T16_bca tex-vs-word-source semantic divergence must be reconciled cross-format; figure word_location pending-phase9. Phase 8 entry unblocked
8,Evidence-first main-manuscript and pre-ablation supplement drafting,FROZEN,Phases 0-7 FROZEN; validated exhibits + accepted claims + citation maps + journal structure available,"Executed 2026-07-11 via 9-agent workflow + inline gate fixes: complete manuscript drafted from claim IDs (title: An Interaction-Structure Memory for High-Dimensional Gaining-Sharing Knowledge Optimization; 5 section files rewritten fresh, legacy defects eliminated); main.pdf compiled 34 pages total / B1=31 main-text pages (28-34 band, <=34 hard cap PASS, no valve); supplementary.pdf 32 pages (S1-S5 + S6 unreleased placeholder); abstract EXACTLY 200 words with one bound number + three disclosures; number-binding audit zero unbound/zero forbidden; citation_usage_map 110 in-build occurrences 0 failures (57-key set, role-map-compliant); paragraph_evidence_audit 274 rows all anchored; ALL mandated loss disclosures present in prose (CEC2011 Holm-significant loss incl. abstract, W/T/L vs eGSK alongside #1 ranks, Nemenyi non-separability, D30 #2, CEC2013 D30 third, apgsk gap, robustness qualifications); AG-0007 GenAI disclosure drafted (back matter + Acknowledgments); no-ablation scan clean; writing-quality pass applied","All Phase 8 acceptance criteria PASS (PHASE_8_gate_report.md Sections 1-3): complete main+supplement source, claims accepted and bound, citations semantically valid, numbers traceable, budget met, no ablation, administrative gaps explicit",Gate 8 APPROVED: P2 + P3 + P4 + P6 + P9 signed (phase_08/PHASE_8_gate_report.md Section 6); adversarial QA 1 major + 3 minor ALL resolved (abstract trimmed 222->200 and recompiled; supplement title fixed; liang2024gskwoa reworded; AG-0007 placement -> Phase 9 hand-off); reopening requires change_request_register.csv row per Section 12.2,P2;P3;P4;P6;P9,2026-07-11,"FROZEN 2026-07-11. Page-count row: main.pdf 34 pages (B1=31) / supplement 32 pages, measured from build log. Hand-offs to Phase 9: AG-0007 placement confirmation, T16_bca cross-format reconciliation, figure word_locations, DOCX parity check, R-0004 cover-letter rewrite. Phase 9 entry unblocked"
9,Dual-format LaTeX/PDF and native Microsoft Word production,FROZEN,Phases 0-8 FROZEN; canonical source complete; equation/exhibit/citation registries present; pandoc 3.9.0.2 + python-docx + MiKTeX available,"Executed 2026-07-11 via 4-agent workflow + inline close-out: 4 deliverables produced - DT-GSK.pdf (34pp, 0 undefined refs), supplementary.pdf (32pp), DT-GSK.docx (607 native OMML, 0 equation images, 11 native tables, 270 live fields, fully editable), supplementary.docx (172 OMML); reference.docx built; three D.6 validators implemented; validate_docx 33/33 PASS both docs; cross-format parity 417 rows 0 FAIL; evidence bindings 721/721 tokens identical across formats; determinism byte-identical on rebuild (SOURCE_DATE_EPOCH); no-ablation scan clean (S6 renders nowhere); cover letter rewritten for MDPI Algorithms (R-0004 resolved-pending-author-review, CL-01->READY); author-requested typography applied + verified (mdpi.cls-exact: Palatino Linotype 10pt justified body, H1 bold/H2 italic/H3 regular 10pt, Title 18pt, Caption 9pt); word_citation_tag_map awad2016problem row corrected to admissible (CR-0005/D-0009)","All Phase 9 acceptance criteria PASS (PHASE_9_gate_report.md Sections 1-6): clean PDFs, fully editable DOCX, all equations native OMML, all tables native Word tables, numbering/cross-refs/TOC/citations/bibliography work, cross-format consistency passes, no ablation","Gate 9 APPROVED: P5 + P6 + P7 + P8 + P9 signed (phase_09/PHASE_9_gate_report.md Section 7); adversarial QA PASS 0 critical/1 major fixed (Table 1 glyph collision MF-01)/3 minor resolved; DOCUMENTED GATE-9 EXCEPTION D-WORD-01 (Microsoft Word unavailable non-interactively -> open-save-open + DOCX->PDF export are an author-side pre-submission step, recorded in word_validation_report.md per the static/fallback exception clause); reopening requires change_request_register.csv row per Section 12.2",P5;P6;P7;P8;P9,2026-07-11,"FROZEN 2026-07-11. Deliverables: papers/DT-GSK.{pdf,docx} + papers/supplementary.{pdf,docx} + cover_letter (MDPI). Author pre-submission steps (D-WORD-01): open DOCX in Word, update fields, verify, Save-As-PDF to confirm typography match. Phase 10 entry unblocked"
